Index,ARIMA,ETS,Actual
1000,0.16914152211433897,0.1587940530326401,0.156
1001,0.16151131235492402,0.17166041899717663,0.154
1002,0.1560123047900813,0.15415750576892506,0.128
1003,0.15668579812917147,0.1449376678532073,0.154
1004,0.15567621888230287,0.14554440205459124,0.162
1005,0.15623678818095973,0.1495709684078092,0.122
1006,0.14425894160765024,0.1371792790046117,0.0559999999999999
1007,0.15170515591988207,0.1554335296527167,0.148
1008,0.15174285431467535,0.12580731150795163,0.2019999999999999
1009,0.15299595590261666,0.13913122146730636,0.18
1010,0.16352343064140984,0.17342686897653126,0.192
1011,0.1580005681374509,0.17214970492090273,0.18
1012,0.164327655010633,0.1608070977596707,0.124
1013,0.15906766322909743,0.1736240012671298,0.138
1014,0.14918963256034265,0.14464396443286323,0.22
1015,0.15299676248612298,0.13595258334549548,0.186
1016,0.16706266880679332,0.16533040662550508,0.16
1017,0.16064429902472396,0.1688948724028213,0.138
1018,0.15030520237831713,0.14980311395662096,0.156
1019,0.15447356329705025,0.16954865212617123,0.136
1020,0.14934203816634953,0.1495120586658637,0.178
1021,0.15387136069896215,0.1643971143769731,0.108
1022,0.13924078697824638,0.16568755454243123,0.146
1023,0.14983260125668835,0.16450617101744414,0.126
1024,0.1449690674431804,0.1345264640485974,0.078
1025,0.15140254372507342,0.14726552797251377,0.154
1026,0.15367881795075777,0.12606137090010663,0.158
1027,0.15356961531411004,0.11723233902723823,0.136
1028,0.14729923803972605,0.13201083856267765,0.162
1029,0.15113916273951514,0.1345708571563042,0.04
1030,0.11279987241919973,0.10610363073924689,0.166
1031,0.13756243812817545,0.12612272392468568,0.206
1032,0.1710161399158756,0.14335410398338322,0.156
1033,0.159172069381816,0.15799537117969742,0.148
1034,0.15100733067734168,0.16678613838727857,0.2
1035,0.15202128509137644,0.16523688071836237,0.168
1036,0.15858483514330787,0.15412813185145094,0.144
1037,0.1554260034782732,0.16903740292739045,0.106
1038,0.13671109843387752,0.13927657863769638,0.066
1039,0.1470242361615709,0.1295155123585602,0.0279999999999999
1040,0.10699208472911181,0.09664969477343922,0.066
1041,0.1339128941331062,0.09865462896745092,0.066
1042,0.11798980487729199,0.07414800812525543,0.064
1043,0.13589151931054425,0.09519930995692429,0.046
1044,0.10847251540275289,0.06690731550006226,0.066
1045,0.13016791177240775,0.08075922174540504,0.04
1046,0.10371434823167994,0.07979811842140742,0.044
1047,0.12600396387929505,0.07729118994329896,0.148
1048,0.14109509556694394,0.07155903823876833,0.12
1049,0.1386905163222242,0.08473532408854348,0.136
1050,0.13649766132689706,0.09356774172340901,0.184
1051,0.13667253219594813,0.08412364291404358,0.104
1052,0.12513306986998743,0.11239923998952209,0.072
1053,0.1325217748872287,0.1138949854953235,0.1119999999999999
1054,0.12653498380245204,0.09591871085576431,0.096
1055,0.13161428826644211,0.11681081980132293,0.0819999999999999
1056,0.11408722594445658,0.09434828442988945,0.126
1057,0.12526496926123828,0.10548902253151739,0.15
1058,0.1388405915642895,0.13345086652149946,0.09
1059,0.13492213250549961,0.13135474653866516,0.052
1060,0.10097754067631731,0.08698959208782894,0.086
1061,0.11820555564568834,0.10106275243150278,0.148
1062,0.13534241523386878,0.09994540505605828,0.134
1063,0.13088724054605308,0.0900716591253034,0.138
1064,0.13199642149096077,0.11348376002228586,0.072
1065,0.12988701338851832,0.11444613446472154,0.086
1066,0.11095611193806089,0.09076354430095133,0.122
1067,0.11963685377559945,0.11052860346389731,0.13
1068,0.12705101297940688,0.1096739446948586,0.14
1069,0.1260088697281946,0.12032631069611993,0.19
1070,0.14928761688855696,0.1526372575990217,0.218
1071,0.13504902110120998,0.15003422237723962,0.134
1072,0.13103707370774498,0.14241681587577654,0.126
1073,0.12999489940316253,0.1575214596108521,0.2019999999999999
1074,0.15673627711150814,0.1521762652137853,0.15
1075,0.140780893589534,0.14392327912020875,0.168
1076,0.14546108345829048,0.15134971820991525,0.104
1077,0.13752517730638503,0.15350691165512848,0.1159999999999999
1078,0.1261398347383943,0.1282366113851938,0.098
1079,0.12972013382608344,0.1473773145128705,0.1639999999999999
1080,0.14356451316158353,0.13459335865528144,0.036
1081,0.13634556181683538,0.14581995446338186,0.15
1082,0.13728532608866395,0.13875903051131708,0.152
1083,0.13284384395778515,0.1354311254525631,0.124
1084,0.12815871508303783,0.11956191556483875,0.134
1085,0.12962130894527504,0.1342147283321476,0.07
1086,0.10790851921883075,0.10729698332155081,0.154
1087,0.12119154025488196,0.0990270198175761,0.144
1088,0.13519131242824545,0.12046893411673354,0.134
1089,0.13211082946494915,0.1229617754035961,0.14
1090,0.1339142238769707,0.12166906705995147,0.12
1091,0.13180559318158894,0.14037822285024293,0.066
1092,0.10647786093982461,0.11067675583304998,0.132
1093,0.12048446866946745,0.12319240728414253,0.166
1094,0.14250634568383497,0.14803939420209178,0.1159999999999999
1095,0.13440125492850477,0.14388392694638405,0.088
1096,0.1140311665472148,0.10951295348639868,0.198
1097,0.12298855808174695,0.12352473027100835,0.106
1098,0.12115087082529988,0.12242487324460925,0.176
1099,0.12633924639981767,0.11329936298120777,0.108
