FormattedTime,ARIMA,RNN,LSTM,CNN,GRU,TCN,Raw,Average
04:02:40,6663.896229036085,7060.107421875,6903.27734375,6936.57421875,7021.1318359375,6905.1591796875,5340.0,6915.024371506013
04:02:45,6027.838140186286,7083.04248046875,8563.728515625,6927.11279296875,6872.9873046875,6492.71630859375,6680.0,6994.570923755005
04:02:50,5577.58683733874,7350.2236328125,8053.02734375,7148.00244140625,6879.57177734375,6565.12158203125,6990.0,6857.404349804487
04:02:55,5258.864004833759,7311.77783203125,7065.20654296875,7278.48974609375,6604.40966796875,6683.27099609375,15600.0,6633.5653565116945
04:03:00,5033.247236336824,7076.10107421875,7840.02978515625,7156.1015625,6626.20947265625,6939.2666015625,6590.0,6753.502968553874
04:03:05,7357.080316261826,7162.5390625,6347.90625,6627.91552734375,6965.74267578125,7754.42138671875,3980.0,6986.670092601912
04:03:10,6511.236886055996,5953.05517578125,5916.41064453125,5344.25,5880.6533203125,6994.52197265625,8330.0,6022.689208098648
04:03:15,5913.071533207907,5571.5927734375,5725.072265625,4604.87646484375,5377.72216796875,6073.84716796875,4920.0,5462.028934425381
04:03:20,5490.059688970007,5800.9013671875,5974.44384765625,5346.4833984375,5861.81396484375,6073.62255859375,6230.0,5766.403758626252
04:03:25,5190.913274832924,6142.40478515625,6650.298828125,5769.21435546875,6384.7001953125,6431.31494140625,8550.0,6151.741069887128
04:03:30,9494.720071915224,9290.3271484375,9986.5244140625,9266.291015625,9467.345703125,8439.4794921875,10600.0,9322.469465860197
04:03:35,10471.182019058097,9663.1474609375,9698.5078125,9476.66015625,9624.5849609375,7781.13427734375,7960.0,9394.19334955794
04:03:40,11162.148269418776,8878.0185546875,8445.7900390625,8408.7001953125,8728.6015625,6606.59033203125,13300.0,8552.930429294258
04:03:45,11651.091397755185,7553.4267578125,7283.6591796875,7528.01953125,7371.16162109375,6282.896484375,7140.0,7666.832354464168
04:03:50,11997.078459529335,6486.55078125,6553.49658203125,6530.529296875,6409.96728515625,5783.3681640625,10200.0,7123.285299170064
04:03:55,6748.997566988859,6713.61572265625,7148.3994140625,7302.271484375,6770.25537109375,7239.11083984375,6810.0,6990.198988308476
04:04:00,5824.444387131343,5993.2392578125,6429.10888671875,6419.744140625,6042.05810546875,5848.4384765625,2980.0,6122.8385053532775
04:04:05,5169.9563549720415,6177.2509765625,6232.42626953125,6200.5419921875,5794.765625,5768.31396484375,7010.0,5944.422463621085
04:04:10,4706.646516693437,6312.48828125,6170.1083984375,6302.9052734375,6354.74609375,5814.16650390625,9720.0,6016.097010135352
04:04:15,4378.671067642751,6463.40771484375,6247.587890625,6561.3056640625,6628.935546875,6569.85693359375,7240.0,6215.739200599692
04:04:20,6304.383273056861,6209.697265625,6095.716796875,6306.3837890625,5979.66650390625,6741.99072265625,3840.0,6248.241919123036
04:04:25,6165.115840238861,6194.91796875,6137.57177734375,5883.4453125,5920.28955078125,6808.71923828125,5280.0,6157.595105215639
04:04:30,6066.590630974332,6540.22314453125,6573.17529296875,5765.81787109375,6021.82177734375,6413.388671875,11500.0,6237.368721195944
04:04:35,5996.888643480207,6723.08447265625,6898.388671875,5981.5029296875,6570.576171875,6000.359375,11200.0,6408.599573756846
04:04:40,5947.577740241351,6877.59130859375,6753.23779296875,6536.45751953125,6855.31005859375,6530.42138671875,6260.0,6630.499106926368
04:04:45,8245.440025575668,7439.25244140625,6580.4306640625,7826.73291015625,7459.2099609375,9232.9345703125,9990.0,7686.343526460709
04:04:50,7527.459473230966,6005.12451171875,5635.94384765625,5967.64501953125,5846.59375,7919.6298828125,5950.0,6347.256770197273
04:04:55,7019.714777732922,5402.76611328125,5766.32568359375,5238.00244140625,5392.46875,7342.59375,2180.0,5917.995643914584
04:05:00,6660.645614975671,5370.71044921875,6351.28466796875,5251.30712890625,5561.52880859375,5838.16064453125,2780.0,5790.5536671648615
04:05:05,6406.717479859013,6043.99853515625,6352.2646484375,5939.23095703125,6505.74169921875,6784.3212890625,5550.0,6308.429017451485
04:05:10,6376.62302681802,6359.93017578125,5823.83544921875,6438.15966796875,6170.9267578125,5813.44287109375,7490.0,6171.357392531733
04:05:15,7251.286924709718,6352.66064453125,6376.7822265625,7160.50927734375,6330.47607421875,6912.29931640625,8550.0,6679.7784178350175
04:05:20,7870.253838835199,6264.22021484375,6577.5302734375,6856.09326171875,6342.2138671875,6546.619140625,4610.0,6670.853264620656
04:05:25,8308.273564704185,5937.37353515625,6670.7890625,6673.9189453125,5969.83056640625,6348.63232421875,3980.0,6551.1208360290075
04:05:30,8618.243735761576,5974.87451171875,6291.70947265625,6281.0302734375,5770.20263671875,5661.61572265625,5690.0,6320.2664118160865
04:05:35,7669.977848267583,7806.7412109375,8336.8232421875,8099.7802734375,8135.15478515625,6457.69580078125,11000.0,7813.497958881982
04:05:40,8406.46397301361,8500.638671875,8853.7314453125,9254.509765625,8705.4853515625,7119.07958984375,5780.0,8536.276815629833
04:05:45,8927.26082289281,8150.7958984375,8419.828125,9025.1796875,8422.513671875,6945.83740234375,11400.0,8336.13080972019
04:05:50,9295.535729548556,7292.1435546875,7600.50927734375,7913.6767578125,7748.6572265625,7278.77685546875,4070.000000000001,7768.71869444372
04:05:55,9555.956672770006,6445.591796875,6593.61474609375,6955.4287109375,6639.14453125,7127.2705078125,4640.0,7053.130611895458
04:06:00,4200.809188704047,4439.5703125,5150.5888671875,4300.439453125,4187.65478515625,4108.19970703125,4450.0,4424.137348053523
