Time,LINEAR_REGRESSION,RANDOM_FOREST,FEEDFORWARD_NEURAL_NETWORK,Actual,Raw
2023-09-08 04:02:40,7288.886787864871,7346.5,7662.03125,7052.806524065582,5340.0
2023-09-08 04:02:45,7697.513274641316,7993.7,7959.59130859375,7644.241758572981,6680.0
2023-09-08 04:02:50,7815.826905825103,8350.9,8369.53125,8791.675560492611,6990.0
2023-09-08 04:02:55,7401.50135260053,7803.71,8250.4833984375,9308.99549813688,15600.0
2023-09-08 04:03:00,7386.008304384513,7347.91,8123.84912109375,8553.156125427024,6590.0
2023-09-08 04:03:05,7211.390864196383,7907.1,6529.2724609375,7056.623687048599,3980.0
2023-09-08 04:03:10,5956.965939229161,5506.38,5313.71142578125,5894.75048283584,8330.0
2023-09-08 04:03:15,5676.451992718184,5065.3,5857.51611328125,5750.602903235716,4920.0
2023-09-08 04:03:20,6030.040769055505,6021.5,5980.888671875,6639.5859742963785,6230.0
2023-09-08 04:03:25,6682.187572723703,7684.6,6627.9111328125,8114.800381597004,8550.0
2023-09-08 04:03:30,10131.484769289687,9509.0,11429.8759765625,9555.049763657718,10600.0
2023-09-08 04:03:35,10351.022763062452,10221.3,10715.5078125,10419.093011632163,7960.0
2023-09-08 04:03:40,9164.944048536545,9547.8,9186.6669921875,10393.953998608778,13300.0
2023-09-08 04:03:45,7137.039476401822,8702.7,7820.7509765625,9478.344207123211,7140.0
2023-09-08 04:03:50,5704.781887826567,6392.4,5650.02685546875,8055.054424231112,10200.0
2023-09-08 04:03:55,6775.475198756259,7342.9,6669.98193359375,6804.911266839323,6810.0
2023-09-08 04:04:00,6070.432633063342,6738.3,5803.98486328125,6289.185509495499,2980.0
2023-09-08 04:04:05,6274.233765210661,6576.1,5882.37548828125,6432.629788251385,7010.0
2023-09-08 04:04:10,6683.686703663253,7379.6,6561.90869140625,6611.462856633639,9720.0
2023-09-08 04:04:15,6893.156630405486,7213.15,7018.7158203125,6501.240686387918,7240.0
2023-09-08 04:04:20,6102.627810476006,6262.2,5936.77001953125,6582.311393800832,3840.0
2023-09-08 04:04:25,6241.028930503481,5939.1,5558.10693359375,7445.959706186766,5280.0
2023-09-08 04:04:30,6842.242985119014,6144.1,5873.85791015625,8821.550502111206,11500.0
2023-09-08 04:04:35,7349.135863430711,7313.2,6946.54345703125,9692.688757186204,11200.0
2023-09-08 04:04:40,7408.966042903414,7410.3,7603.56298828125,9260.706316126583,6260.0
2023-09-08 04:04:45,7163.46759385862,7733.1,8466.9248046875,7565.9941827114035,9990.0
2023-09-08 04:04:50,5543.004303192124,5424.5,5284.60986328125,5429.1291594881495,5950.0
2023-09-08 04:04:55,5086.840671583734,5593.48,4261.7392578125,4000.962734886616,2180.0
2023-09-08 04:05:00,5411.962501013349,5488.9,4615.36572265625,4013.29304909676,2780.0
2023-09-08 04:05:05,6248.343129675094,5896.5,5407.05810546875,5140.632997599745,5550.0
2023-09-08 04:05:10,6298.820655072448,5606.41,6359.546875,6241.45711689121,7490.0
2023-09-08 04:05:15,6040.15291272574,6081.0,6861.544921875,6446.866591756234,8550.0
2023-09-08 04:05:20,6039.985347598157,5754.8,7359.97265625,5994.003904515632,4610.0
2023-09-08 04:05:25,5587.092061710023,5894.3,7326.11083984375,5865.533343040068,3980.0
2023-09-08 04:05:30,5618.516664107984,5841.5,6718.96533203125,6628.474213848069,5690.0
2023-09-08 04:05:35,8471.567621711296,9325.5,9183.841796875,7795.966239740936,11000.0
2023-09-08 04:05:40,9030.831041819762,8892.9,10014.3388671875,8349.21790610856,5780.0
2023-09-08 04:05:45,8433.015676860261,9450.4,9366.3818359375,7726.977397485108,11400.0
2023-09-08 04:05:50,7303.74206144477,7612.8,7890.05419921875,6302.23825302257,4070.000000000001
2023-09-08 04:05:55,5955.73602804218,6339.6,6523.69970703125,5017.375979147068,4640.0
2023-09-08 04:06:00,4394.593552938131,4133.9,3906.47216796875,4539.748186629156,4450.0
2023-09-08 04:06:05,5427.7563858945305,5086.2,4787.40771484375,4708.498546346216,2120.0
2023-09-08 04:06:10,6514.820565287699,5777.1,6969.17578125,4864.891261083718,11300.0
2023-09-08 04:06:15,7003.270744158623,6959.8,7741.90234375,4740.104690697421,1940.0
2023-09-08 04:06:20,7217.822701837116,7956.74,8879.7822265625,4799.908412797787,2360.0
2023-09-08 04:06:25,5898.364955552009,5239.8,5110.0439453125,5612.1861852544425,8690.0
2023-09-08 04:06:30,7680.094261098595,7637.3,7282.8349609375,7107.779271455878,4200.0
2023-09-08 04:06:35,8612.397587601292,7531.3,7851.9287109375,8535.996913073745,9430.0
2023-09-08 04:06:40,8644.68291254902,7880.4,8036.81396484375,8995.903016205184,11800.0
2023-09-08 04:06:45,7795.710688401356,7546.0,7244.2119140625,8074.6604194840465,3390.0
2023-09-08 04:06:50,5973.051197201496,6079.0,5693.94921875,6203.164587186489,12200.0
2023-09-08 04:06:55,4107.806493845996,4389.4,2781.70849609375,4517.327977947623,1590.0
2023-09-08 04:07:00,3744.4766579283714,4676.86,2634.835205078125,4144.922041421445,1740.0
2023-09-08 04:07:05,4741.346249517101,5731.58,4164.17822265625,5256.679089708166,4750.0
2023-09-08 04:07:10,5887.11018642536,6920.77,5593.271484375,6898.958941951698,11600.0
2023-09-08 04:07:15,7993.927457044674,7603.0,7238.01513671875,7969.196233939541,6680.0
2023-09-08 04:07:20,7306.913793534415,8026.4,6531.30712890625,8120.526575766741,5680.0
2023-09-08 04:07:25,6450.509982661701,7302.0,5279.27099609375,7633.392309657667,9970.0
