Time,ARIMA,ETS,PROPHET,Actual,Raw
2023-09-08 02:39:20,0.16319402482362685,0.16043159884731,0.1603111467469381,0.16262378708120548,0.156
2023-09-08 02:39:25,0.1547595607600959,0.14426455068252864,0.16046145996879965,0.1542481441653949,0.154
2023-09-08 02:39:30,0.14862796612552925,0.1454237040960049,0.16005085745187328,0.14888917680619732,0.128
2023-09-08 02:39:35,0.14381350712847893,0.13781553627790766,0.16019767441309618,0.1415198641553361,0.154
2023-09-08 02:39:40,0.13271729213193842,0.13631946111743906,0.16021224947902404,0.1288251886242025,0.162
2023-09-08 02:39:45,0.12608350340755423,0.13331460675223594,0.1603589944331257,0.11709413042836853,0.122
2023-09-08 02:39:50,0.1099668202518312,0.107149659305532,0.1583553120077971,0.11929213401046845,0.0559999999999999
2023-09-08 02:39:55,0.10459870046346063,0.09877066152343955,0.15848644212895927,0.14035676222323507,0.148
2023-09-08 02:40:00,0.16631110215450612,0.16289562454923248,0.15871665329782927,0.16857697954889028,0.2019999999999999
2023-09-08 02:40:05,0.18587333608406387,0.1860681383786332,0.15885106427712997,0.18549749354662937,0.18
2023-09-08 02:40:10,0.1916607511351952,0.20110085484568627,0.15917638703132456,0.1829028093742992,0.192
2023-09-08 02:40:15,0.19629938791932414,0.21347297979660879,0.1593112163971534,0.16899642383909824,0.18
2023-09-08 02:40:20,0.1553159450504779,0.15152045857435145,0.15976327610078345,0.15965058685709224,0.124
2023-09-08 02:40:25,0.14501813290880922,0.13171815087286573,0.1598991162747887,0.16320698998130664,0.138
2023-09-08 02:40:30,0.1721311774440824,0.1662434313720051,0.16083697283733678,0.17306524667275877,0.22
2023-09-08 02:40:35,0.17884346265170456,0.17038124594258774,0.16097945040285394,0.17644368348774056,0.186
2023-09-08 02:40:40,0.17403409033779116,0.1818275487459447,0.16146721427646304,0.16897608682054455,0.16
2023-09-08 02:40:45,0.1722220937336652,0.1892955958881244,0.16161107893397553,0.15750173312574217,0.138
2023-09-08 02:40:50,0.14805362682802256,0.1478954080673139,0.1620416504034233,0.15008689455770197,0.156
2023-09-08 02:40:55,0.14094101591801814,0.14014719599987,0.1621878653903302,0.14737697896725646,0.136
2023-09-08 02:41:00,0.14617823530095703,0.1463767350687624,0.1617844041945417,0.14405330324515295,0.178
2023-09-08 02:41:05,0.1452764809484318,0.14593372957824033,0.16192847340188996,0.13619019960558554,0.108
2023-09-08 02:41:10,0.12704221305179925,0.12671611311529282,0.16068148722413736,0.1259826698960419,0.146
2023-09-08 02:41:15,0.12015963772825675,0.11380817610808915,0.16081576914525844,0.1201988221522518,0.126
2023-09-08 02:41:20,0.11878443216245704,0.1109482900443046,0.15992768455686968,0.12387741496607907,0.078
2023-09-08 02:41:25,0.11771519245326229,0.09967928324033176,0.16005572671235285,0.13398211825962394,0.154
2023-09-08 02:41:30,0.14384304484277122,0.14378003446579643,0.15919089659130986,0.140494646227976,0.158
2023-09-08 02:41:35,0.1512609886883012,0.1546288656251416,0.15931383010539527,0.13672978430013724,0.136
2023-09-08 02:41:40,0.12858714886217218,0.13472955019687455,0.15920963466182572,0.12801592428461708,0.162
2023-09-08 02:41:45,0.12246156746425681,0.1346063044016602,0.15933293410248414,0.12693291377900612,0.04
2023-09-08 02:41:50,0.13213974952431062,0.1277072365534408,0.15893348414248615,0.13924273102234327,0.166
2023-09-08 02:41:55,0.13605445842960207,0.13043349404964852,0.15905538383745255,0.15815233007573218,0.206
2023-09-08 02:42:00,0.17493458851969135,0.17873067565708406,0.15899912515903608,0.17362061291735206,0.156
2023-09-08 02:42:05,0.18755094331280048,0.19974895313009253,0.15911867529912258,0.18130619733522735,0.148
2023-09-08 02:42:10,0.18469302780812002,0.1872755186485194,0.15990417395569048,0.17973210572986353,0.2
2023-09-08 02:42:15,0.18759211829117717,0.189930094171242,0.16002797989689968,0.1657050848160929,0.168
2023-09-08 02:42:20,0.14704564122964317,0.148494940205739,0.1601267005030944,0.13781304058483546,0.144
2023-09-08 02:42:25,0.1330046895546295,0.1294399794561962,0.1602501010645736,0.102037219309357,0.106
2023-09-08 02:42:30,0.06952097952159655,0.06593138679331309,0.15902169877215183,0.07061668327666851,0.066
2023-09-08 02:42:35,0.04499789494427112,0.030793025302555066,0.15913818659907822,0.05394882303387801,0.0279999999999999
2023-09-08 02:42:40,0.0472987089669864,0.0390880877305758,0.15665555519166266,0.052641351336203394,0.066
2023-09-08 02:42:45,0.042288936964571755,0.026227513276298006,0.15675912433087122,0.057687358955608545,0.066
2023-09-08 02:42:50,0.06218620450857084,0.06465248503554391,0.15464357397186684,0.05900554074251792,0.064
2023-09-08 02:42:55,0.06556692475297062,0.07342760392544663,0.15473710373436275,0.053955459193170935,0.046
2023-09-08 02:43:00,0.04729387646373791,0.050371778709409044,0.15201175339105483,0.04893536655756651,0.066
2023-09-08 02:43:05,0.04228023264294395,0.04704244630174234,0.15209192570984884,0.05414197922327057,0.04
2023-09-08 02:43:10,0.06537626925990873,0.05763515132344686,0.15014930503212776,0.07504180430207236,0.044
2023-09-08 02:43:15,0.07381588392937574,0.05783091596133834,0.15022165434024262,0.10651067546537749,0.148
2023-09-08 02:43:20,0.1363606095879698,0.13472180230351702,0.14865930083014472,0.13529942008520018,0.12
2023-09-08 02:43:25,0.1589495266866084,0.16104998418128844,0.14872359386338507,0.1485889719829905,0.136
2023-09-08 02:43:30,0.15153508788083422,0.16165189566426458,0.14829167141379943,0.14161423461408326,0.184
2023-09-08 02:43:35,0.15405187539257972,0.17590239950103603,0.14835312113574328,0.12074120117784831,0.104
