Time,ARIMA,ETS,Actual
2023-09-08 02:39:20,0.16914152211433897,0.1587940530326401,0.156
2023-09-08 02:39:25,0.16151131235492402,0.17166041899717663,0.154
2023-09-08 02:39:30,0.1561146679789368,0.15416379552650428,0.128
2023-09-08 02:39:35,0.15682046304304048,0.14489971077729066,0.154
2023-09-08 02:39:40,0.15567485540713083,0.14534610082973434,0.162
2023-09-08 02:39:45,0.15623397276895415,0.1494201608792984,0.122
2023-09-08 02:39:50,0.14436329140045734,0.1372692158346919,0.0559999999999999
2023-09-08 02:39:55,0.1518308679529801,0.15555562304810494,0.148
2023-09-08 02:40:00,0.15180297349412183,0.1255970079783093,0.2019999999999999
2023-09-08 02:40:05,0.1530743134870628,0.1396772346451221,0.18
2023-09-08 02:40:10,0.16368679661749758,0.17397887575637003,0.192
2023-09-08 02:40:15,0.15823399781133238,0.1723154821061678,0.18
2023-09-08 02:40:20,0.1645030599150522,0.1602709157617844,0.124
2023-09-08 02:40:25,0.1593198869208571,0.17281246680650736,0.138
2023-09-08 02:40:30,0.14949094659581896,0.14540409239954577,0.22
2023-09-08 02:40:35,0.15333389682179233,0.13656250970515765,0.186
2023-09-08 02:40:40,0.16712202198550002,0.16449821184486885,0.16
2023-09-08 02:40:45,0.1608185903616143,0.16799304412071997,0.138
2023-09-08 02:40:50,0.15052912077633412,0.15077521348198666,0.156
2023-09-08 02:40:55,0.15471318777262955,0.16993456298653742,0.136
2023-09-08 02:41:00,0.14954971289184688,0.15008051914700715,0.178
2023-09-08 02:41:05,0.15407509119557986,0.16372163289751795,0.108
2023-09-08 02:41:10,0.13966802173257176,0.16736461575124706,0.146
2023-09-08 02:41:15,0.15022826858778948,0.16533608588671697,0.126
2023-09-08 02:41:20,0.14526570846775702,0.1349056930043283,0.078
2023-09-08 02:41:25,0.15169122215739808,0.14754310176579652,0.154
2023-09-08 02:41:30,0.15378404435354992,0.12728405171528834,0.158
2023-09-08 02:41:35,0.15371198443432038,0.11803353634718006,0.136
2023-09-08 02:41:40,0.14748407041534092,0.13044699210288307,0.162
2023-09-08 02:41:45,0.15131548649767024,0.13359791066512142,0.04
2023-09-08 02:41:50,0.11348922273596045,0.10840315366028902,0.166
2023-09-08 02:41:55,0.13798532425531437,0.1271871443201638,0.206
2023-09-08 02:42:00,0.1707315002636531,0.1433374770442086,0.156
2023-09-08 02:42:05,0.15903474011224844,0.1559774670262666,0.148
2023-09-08 02:42:10,0.1510926698885682,0.16819707365638945,0.2
2023-09-08 02:42:15,0.15211750080462588,0.1659601656334176,0.168
2023-09-08 02:42:20,0.15865461515510534,0.15432515581416234,0.144
2023-09-08 02:42:25,0.15555871495238593,0.16765487930568945,0.106
2023-09-08 02:42:30,0.1369473581016038,0.13999984380718364,0.066
2023-09-08 02:42:35,0.1472044342306816,0.13073040338407702,0.0279999999999999
2023-09-08 02:42:40,0.1074174429856281,0.09635179440006347,0.066
2023-09-08 02:42:45,0.1340374631906107,0.0978380293268229,0.066
2023-09-08 02:42:50,0.11805402091281941,0.07739728376401414,0.064
2023-09-08 02:42:55,0.1356453411159822,0.09625386262879969,0.046
2023-09-08 02:43:00,0.10841194231508952,0.06910594395792155,0.066
2023-09-08 02:43:05,0.1296515325009524,0.08144867673538139,0.04
2023-09-08 02:43:10,0.10335401478298256,0.08317915547928065,0.044
2023-09-08 02:43:15,0.12502322570310875,0.08057259189193582,0.148
2023-09-08 02:43:20,0.1399292536777549,0.07180662219901718,0.12
2023-09-08 02:43:25,0.13716569921405228,0.08442984581300156,0.136
