Time,ARIMA,SARIMA,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 02:39:20,2.3284895213470134,2.314260490485454,2.2954514,2.2942955,2.5042589,2.3297021,2.2981656,2.385206980017472,1.8
2023-09-08 02:39:25,2.290886838616733,2.236096850391111,2.2924128,2.3645256,2.546776,2.3185198,2.5348587,2.488261884589467,2.0
2023-09-08 02:39:30,2.264145608394017,2.1602219531730387,2.3584511,2.4494143,2.6073134,2.3755836,2.6340303,2.5953807348656346,3.8
2023-09-08 02:39:35,2.2451285239228485,2.1098335214880737,2.4280243,2.4230714,2.5902364,2.4897106,2.5940843,2.60334664262719,1.6
2023-09-08 02:39:40,2.2316044826288786,2.087521648544564,2.5551813,2.4189937,2.5372288,2.5772102,2.6663084,2.493356329554973,3.2
2023-09-08 02:39:45,2.357921730935112,2.349224559024717,2.3869061,2.3727293,2.452959,2.340034,2.4404926,2.348493664441646,2.0
2023-09-08 02:39:50,2.2616198606069733,2.216490610495163,2.4036088,2.4130006,2.4387596,2.2397933,2.3951454,2.2853203219524176,2.4
2023-09-08 02:39:55,2.19314363427187,2.0825176986049723,2.4824173,2.44482,2.4661248,2.3060145,2.448045,2.359990767448114,2.0
2023-09-08 02:40:00,2.144453057888265,1.9734748000667592,2.5788794,2.4714925,2.555126,2.3379357,2.6091702,2.511268954313433,2.8
2023-09-08 02:40:05,2.109831228452661,1.929347279924238,2.6432858,2.5129697,2.561158,2.5019953,2.6167722,2.6020119036133487,2.4
2023-09-08 02:40:10,2.6219148530775502,2.652669922472904,2.5289733,2.6869216,2.606694,2.5164762,2.4107332,2.545986234727426,3.2
2023-09-08 02:40:15,2.636061820320852,2.726076694210728,2.4620247,2.655372,2.4730952,2.4190423,2.5779455,2.401366770267228,2.0
2023-09-08 02:40:20,2.6461174496406685,2.768110615503433,2.432637,2.5265875,2.380912,2.4382253,2.561428,2.3170810778423148,2.0
2023-09-08 02:40:25,2.6532649660856102,2.762643632335257,2.471485,2.5553067,2.3348114,2.4859388,2.5625763,2.3820489050535696,2.4
2023-09-08 02:40:30,2.6583454030931715,2.7370213503462706,2.6120481,2.5452075,2.3636363,2.5734556,2.675246,2.561392776646877,3.2
2023-09-08 02:40:35,2.74456339650723,2.757441526649211,2.7534149,2.8150342,2.7615142,2.7071311,2.7102613,2.7737997277893705,2.2
2023-09-08 02:40:40,2.8747739302842,2.923140201129033,2.7569342,2.734051,2.8360007,2.6853957,2.8543875,2.962749410332937,3.2
2023-09-08 02:40:45,2.967336717479053,3.051889915933804,2.6354635,2.5983784,2.6806638,2.6154933,2.778107,3.0772812163851464,2.8
2023-09-08 02:40:50,3.0331368438187187,3.1172532588850688,2.4802482,2.3599694,2.5625734,2.560797,2.678093,3.048898904279044,3.4
2023-09-08 02:40:55,3.0799121922878774,3.113386953954142,2.3997524,2.3446472,2.4834056,2.499134,2.5596356,2.8318845153862755,2.6
2023-09-08 02:41:00,2.562044987201598,2.55835271668471,2.5894194,2.4459045,2.6448152,2.453247,2.7134461,2.459495571309924,2.8
