FormattedTime,ARIMA,SARIMA,RNN,LSTM,CNN,GRU,TCN,Raw,Average
04:02:40,2.976522835035727,2.9881027367843567,3.073559522628784,3.381772756576538,2.935886859893799,3.166853666305542,2.870511054992676,3.4,3.05617277603106
04:02:45,3.0212715605683496,3.056991531701874,3.270581722259521,3.4088613986968994,2.986944913864136,3.378268480300904,2.71412205696106,3.8,3.1195773806218203
04:02:50,3.0530125013042984,3.098271556902617,3.202225685119629,3.3453640937805176,2.922532081604004,3.309199094772339,2.6764562129974365,3.2,3.0867230323544055
04:02:55,3.075526825607647,3.0955616062147366,2.949251174926758,3.0239453315734863,2.764652729034424,2.9848790168762207,2.655923843383789,3.6,2.9356772182310085
04:03:00,3.0914965727885257,3.066157481520672,2.680227041244507,2.3234670162200928,2.6096031665802,2.619058609008789,2.625109910964966,2.4,2.7164456854753927
04:03:05,2.363680895030837,2.37870779210934,2.344759702682495,2.457282543182373,2.2815942764282227,2.327942609786988,2.2660610675811768,2.4,2.3457184124002044
04:03:10,2.059387679400716,2.123460547998637,2.0583744049072266,2.209139585494995,2.0448389053344727,2.094588041305542,2.191577434539795,2.2,2.208010668062069
04:03:15,1.8433194049867343,1.9727087764391824,2.031219959259033,2.300717830657959,2.11445689201355,2.0363125801086426,2.306416749954224,1.6,2.298115101471255
04:03:20,1.689896663991473,1.8598029935514704,2.2767484188079834,2.3680405616760254,2.408311367034912,2.2655344009399414,2.3780176639556885,2.2,2.3670320264373252
04:03:25,1.58095638796835,1.7506454639864646,2.5619466304779053,2.448181629180908,2.6108100414276123,2.462284803390503,2.670549154281616,2.8,2.4483242704958332
04:03:30,2.63693911178192,2.6338265861812014,2.6447737216949463,2.637157678604126,2.6641740798950195,2.6073110103607178,2.341463565826416,2.6,2.6368653363017436
04:03:35,2.807856031805249,2.812066215897516,2.7687554359436035,2.8038578033447266,2.770751953125,2.714783430099488,2.3738811016082764,2.6,2.7249089274829226
04:03:40,2.9291974826022664,2.9688366614807613,2.7412362098693848,2.7847039699554443,2.7032783031463623,2.686851024627685,2.381816864013672,3.4,2.697633266252828
04:03:45,3.0153431238852666,3.1045283102551373,2.632896900177002,2.5925214290618896,2.627835512161255,2.592153549194336,2.3198368549346924,3.0,2.595012907368515
04:03:50,3.0765017095401674,3.1941193840572235,2.483686208724976,2.385596990585327,2.495116710662842,2.4881186485290527,2.3536596298217773,3.8,2.480475784030157
04:03:55,3.067853242173006,3.047314983660648,2.976202726364136,2.90065336227417,2.965736150741577,2.9030535221099854,2.905442714691162,3.2,2.9079681475070687
04:04:00,2.933422749309285,2.872465195287586,2.55046820640564,2.653770446777344,2.59164834022522,2.535632610321045,2.5715808868408203,1.8,2.6723489055156957
04:04:05,2.837966675508909,2.763058521048724,2.2904834747314453,2.3541901111602783,2.3352062702178955,2.3121020793914795,2.3090198040008545,2.6,2.4824175113533298
04:04:10,2.7701854613566987,2.7308657507843086,2.240610122680664,2.343157291412353,2.27754807472229,2.270659208297729,2.272481918334961,2.2,2.4438218145909314
04:04:15,2.722055543489392,2.73868778808418,2.2964766025543213,2.3566465377807617,2.328383684158325,2.3584792613983154,2.3016886711120605,2.4,2.491584708128564
04:04:20,2.564557483628071,2.547173769795073,2.64288330078125,2.6144018173217773,2.5550124645233154,2.560474157333374,2.4732136726379395,2.8,2.574186738801514
04:04:25,2.671841747921895,2.604475341942585,2.704958200454712,2.583512783050537,2.60341477394104,2.61660385131836,2.5502572059631348,3.0,2.6473084203618673
04:04:30,2.7480476198236263,2.6189267779889294,2.727954864501953,2.550267457962036,2.6246979236602783,2.6349916458129883,2.4760570526123047,1.8,2.665489008518167
04:04:35,2.802177971096748,2.634855225971575,2.665705680847168,2.469155788421631,2.5764145851135254,2.638030529022217,2.532872200012207,2.8,2.6418146309527573
04:04:40,2.8406276975526024,2.675832000905898,2.5564332008361816,2.5383858680725098,2.561126708984375,2.5483906269073486,2.4304165840148926,3.8,2.5517576891140035
04:04:45,2.1246630574857024,2.1315231748417287,2.011087417602539,2.0690269470214844,2.141660690307617,1.984240889549256,2.3755788803100586,1.2,1.998270878376503
04:04:50,1.9047194287822349,1.9091586441518609,1.6568403244018557,1.7637873888015747,1.9515475034713743,1.7133922576904297,2.336737632751465,1.4,1.7146616303467117
04:04:55,1.748434333417845,1.712835887580652,1.6776745319366455,1.7635958194732666,1.9814492464065552,1.7552907466888428,2.374692440032959,1.6,1.7309476187674024
04:05:00,1.6373830100535902,1.539309469027479,1.984647274017334,2.2591726779937744,2.2363126277923584,2.082176923751831,2.4340627193450928,2.8,2.031246279569117
04:05:05,1.5584733968739173,1.4230160339920876,2.3589470386505127,2.4717037677764893,2.5003583431243896,2.4528541564941406,2.573826551437378,1.2,2.3577335684854543
