Time,LINEAR_REGRESSION,RANDOM_FOREST,FEEDFORWARD_NEURAL_NETWORK,Actual,Raw
2023-09-08 04:02:40,2689.87416390576,2669.113631470397,2674.743408203125,2578.7958634574634,2880.0
2023-09-08 04:02:45,3016.646536471872,2986.4439251533054,3081.283203125,2846.963149232716,3450.0
2023-09-08 04:02:50,2894.1635914311373,2899.4029399184296,2870.588134765625,2639.191097474175,2850.0
2023-09-08 04:02:55,2458.5001379845216,2501.9901235849507,2320.9619140625,2075.067273371331,1650.0
2023-09-08 04:03:00,2004.145962999589,1902.453756849152,1847.31640625,1492.6096615684187,1260.0
2023-09-08 04:03:05,1129.2183616953228,1151.1776764264762,1051.39306640625,1123.2397830523885,615.0
2023-09-08 04:03:10,958.712562015923,1088.5076757156428,957.6063842773438,955.981400408922,2060.0
2023-09-08 04:03:15,1208.3970520304954,1139.432428109723,1066.06884765625,890.2038040699939,598.0
2023-09-08 04:03:20,1551.4953237056131,1305.1999566268998,1399.6494140625,923.7918944433768,827.0
2023-09-08 04:03:25,1874.3326062157284,1877.61943323776,1765.357666015625,1133.8413503721372,977.0
2023-09-08 04:03:30,1598.7721282739187,1706.726780958007,1600.17431640625,1523.525028347118,1330.0
2023-09-08 04:03:35,2009.3973302597788,2304.215135922408,2342.401611328125,1959.688061522448,2390.0
2023-09-08 04:03:40,2156.956810356008,2229.4463326851123,2564.1181640625,2261.177704119524,2360.0
2023-09-08 04:03:45,2068.026530603198,2353.8030333108995,2480.261474609375,2308.9098961621985,1570.0
2023-09-08 04:03:50,1830.315905773372,1949.58121373558,2082.6884765625,2085.003479270109,2940.0
2023-09-08 04:03:55,1755.5544489584076,1841.293379410572,1771.8233642578125,1683.0257694714787,1570.0
2023-09-08 04:04:00,1325.465789713642,1220.5376886063978,1096.8670654296875,1291.237776808871,1030.0
2023-09-08 04:04:05,1185.7569870791128,1150.7519866162163,1212.55908203125,1079.1168835360993,806.0
2023-09-08 04:04:10,1233.255022262568,1226.7374111453594,1317.0428466796875,1060.6377829941066,1230.0
2023-09-08 04:04:15,1497.2243345848176,1640.801879335138,1606.2359619140625,1107.0915033873914,1300.0
2023-09-08 04:04:20,1170.9360060037018,1149.2774639831844,1191.05712890625,1104.8681531008576,1360.0
2023-09-08 04:04:25,1215.4578036499283,1225.6932526368173,1310.8157958984375,1065.4808397926838,761.0
2023-09-08 04:04:30,1310.4139527209177,1278.7514276965514,1344.956787109375,1062.7157050277697,826.0
2023-09-08 04:04:35,1520.737461036386,1559.8443943583748,1545.501953125,1093.354096408841,1110.0
2023-09-08 04:04:40,1672.6767597389533,1506.9365444542727,1599.7957763671875,1053.005905101689,1270.0
2023-09-08 04:04:45,950.744151080342,927.7735289009784,794.6381225585938,869.7400584688826,1180.0
2023-09-08 04:04:50,681.7196300265266,899.6314065554255,588.4963989257812,632.8833823427394,481.0
2023-09-08 04:04:55,731.475227950895,917.5586087692308,655.5205688476562,546.4356528743468,292.0
2023-09-08 04:05:00,873.8648810334007,990.3662215816768,1113.39208984375,732.7559375599988,638.0
2023-09-08 04:05:05,1233.2842407507237,1518.5119994822132,1431.1512451171875,1086.059249421803,732.0
2023-09-08 04:05:10,1302.7172421980315,1246.150768627848,1115.8670654296875,1341.3968333670532,2370.0
2023-09-08 04:05:15,1358.5336227075534,1401.1620796257257,1321.347900390625,1309.765712487318,744.0
2023-09-08 04:05:20,1254.8725070779876,1325.2181427991911,1116.4920654296875,1050.1854838296235,1480.0
2023-09-08 04:05:25,1130.7230652774188,1301.8618832259867,1095.519287109375,815.111007981139,495.0
2023-09-08 04:05:30,1166.03305413065,1256.00061383189,1086.885009765625,827.0548543132228,520.0
2023-09-08 04:05:35,1053.9018938977997,1091.2887243044345,1069.427978515625,1079.9900106710268,899.0
2023-09-08 04:05:40,1437.2210428863737,1427.53440014567,1493.7183837890625,1345.8308939070614,1930.0
2023-09-08 04:05:45,1721.8209501753072,1713.6941927958997,1650.594970703125,1398.6798111517949,1650.0
2023-09-08 04:05:50,1798.8143527686873,1719.8958587272875,1701.94287109375,1233.2559517555576,890.0
2023-09-08 04:05:55,1708.0637399059874,1741.337854206454,1692.496337890625,1047.3140128933485,1080.0
2023-09-08 04:06:00,1043.866999036787,1070.658252637318,1242.994140625,1029.044654345484,650.0
2023-09-08 04:06:05,1345.702502280539,1293.440489428894,1424.319091796875,1186.7693979146316,1210.0
2023-09-08 04:06:10,1578.6305206479456,1468.9585439256518,1620.9747314453125,1377.3101469017531,2130.0
2023-09-08 04:06:15,1790.7742718592938,1522.471556739457,1838.15234375,1463.721810509107,812.0
2023-09-08 04:06:20,1756.2423784398295,1483.572511383857,1602.1424560546875,1414.0071319009194,1540.0
2023-09-08 04:06:25,1318.062030876947,1344.2159481751544,1321.4425048828125,1282.5515543754368,1390.0
2023-09-08 04:06:30,1196.6153389405997,1247.0155588219793,1161.61083984375,1168.5824148738589,1450.0
2023-09-08 04:06:35,1212.5904305438717,1256.676886419698,1150.376708984375,1172.811038899723,655.0
2023-09-08 04:06:40,1409.2352290579188,1359.2605219769518,1275.4730224609375,1304.3478132857213,1110.0
2023-09-08 04:06:45,1562.0353536927746,1384.2382873887625,1426.72607421875,1427.5499428895766,1570.0
2023-09-08 04:06:50,1445.3926366841586,1343.4983058900093,1483.603759765625,1389.252134710299,2280.0
2023-09-08 04:06:55,1048.0943871948848,1116.7642507566134,1047.9937744140625,1221.031037006149,880.0
2023-09-08 04:07:00,895.4267763783321,1156.9958659679276,975.8973388671876,1127.8916221798163,441.0
