Time,ARIMA,SARIMA,ETS,GP,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 02:39:20,6441.043303861295,6418.898307857357,5666.29102944832,56.677426180809306,6601.028,5478.6753,6638.8477,6664.351,5630.9487,6469.5146905055,7940.0
2023-09-08 02:39:25,6541.575639573885,6381.3387125443805,4685.3236618419205,56.67735273792224,6723.07,5925.6016,7118.992,6613.4834,5884.9297,6563.862986238386,4530.0
2023-09-08 02:39:30,6613.411728822505,6157.460136328498,4071.063517117267,56.67727915346696,6623.3076,6057.7466,7035.411,6298.2847,5593.3057,6421.669442820764,6500.0
2023-09-08 02:39:35,6664.742712848269,5877.056731396991,3326.8212149789742,56.67720542744405,6327.1855,5581.9307,6997.9155,6172.9956,5557.7876,5901.4085274182935,6770.0
2023-09-08 02:39:40,6701.421629373555,5715.953665615474,2945.783127518674,56.67713155985403,6270.851,5654.815,6251.2275,5968.47,4750.7725,5060.92803149372,5710.0
2023-09-08 02:39:45,4255.3858468647895,4331.041244994583,4660.0171822585735,56.975401693229415,4020.0852,5146.0757,4154.941,4145.817,5439.6997,4371.032734194909,4980.0
2023-09-08 02:39:50,3679.263469729359,3913.9900421411458,4601.881701621996,56.97532754355258,3999.6128,5593.278,4378.409,3755.879,5276.9146,4422.443947757597,1570.0
2023-09-08 02:39:55,3267.221742095845,3606.663371949668,4812.983927150035,56.975253251564446,4406.2847,5567.147,5035.806,4428.9604,5095.273,5224.689153853168,3540.0
2023-09-08 02:40:00,2972.53021118296,3299.531752755198,5265.213980397242,56.975178817265565,5180.234,6214.8613,5665.149,5402.36,5228.576,6041.4135052249285,12300.0
2023-09-08 02:40:05,2761.767337989151,3044.997375933284,5810.68299602348,56.9751042406565,5825.7017,5971.088,5949.882,5518.878,5665.837,6174.664717876147,2670.0
2023-09-08 02:40:10,5912.85319385044,5988.732535364072,6046.215479522295,57.23193070924895,5436.848,5452.3555,5678.2324,5724.6343,6733.982,5714.994094217843,6280.0
2023-09-08 02:40:15,5725.910914639445,5988.06186591094,5263.183912721337,57.23185584915942,4774.041,5646.051,5313.624,5421.799,6230.5713,5345.1862226884205,5410.0
2023-09-08 02:40:20,5592.427807329125,6022.937099820922,3773.3003809316738,57.2317808461191,4568.6636,5936.7427,5161.874,5366.603,6778.234,5620.898227238038,4880.0
2023-09-08 02:40:25,5497.116356048979,5927.533357638092,1932.852565240927,57.23170570012859,5278.168,6209.6294,5298.9263,5552.915,7341.0776,6533.712637845847,5180.0
2023-09-08 02:40:30,5429.060757642742,5663.242698904026,459.0751696947929,57.23163041118848,5475.6816,5800.3975,5384.0547,5786.368,5988.2383,7630.868551861175,11700.0
2023-09-08 02:40:35,8527.788116486332,8506.026214284619,8605.794874890296,57.53408198164255,8318.903,7641.1133,8068.009,8268.585,8506.669,8492.038423325417,5410.0
2023-09-08 02:40:40,9168.907555933582,9170.940219142312,9942.977823893469,57.53400640815492,8184.518,7125.1777,8072.5117,8064.9233,7914.75,9012.91390278375,10700.0
2023-09-08 02:40:45,9627.180685262558,9790.848668622206,11710.858105344272,57.53393069096301,7334.897,6089.224,7293.497,7219.36,7300.304,9182.320807439946,6940.0
2023-09-08 02:40:50,9954.755000036168,10362.032479676274,13824.963946200862,57.533854830067455,6466.4214,5796.597,6583.882,6617.293,6513.5464,8779.95278403409,9270.0
2023-09-08 02:40:55,10188.905607680392,10790.192169002095,16208.248648497984,57.53377882546874,5828.1216,5287.315,6091.8145,6015.0244,6085.526,7553.800849974064,10300.0
2023-09-08 02:41:00,6117.866646648952,6061.014630219381,6580.580075983179,57.95672516813549,6300.84,6266.059,6255.2646,5451.5425,7277.273,5710.527562468534,4510.0
2023-09-08 02:41:05,5090.221583791989,4937.462110140947,5695.098801186492,57.956648877845325,4716.8745,6013.4395,5220.4355,5448.7974,5558.824,3987.349929697274,1950.0
2023-09-08 02:41:10,4354.773975699052,4202.943527998261,4537.407306824518,57.956572442796215,4416.8374,5863.4746,4677.89,5340.266,5355.817,3109.215760115748,5100.0
2023-09-08 02:41:15,3828.4412915854255,3800.225073077309,2729.107783506138,57.95649586298867,4977.1426,5987.2646,5284.063,5808.852,6024.482,3286.894125976636,2540.0
2023-09-08 02:41:20,3451.76443341384,3551.092195844496,213.91178622610187,57.95641913842334,5402.1763,6024.937,5606.876,5535.2837,6241.6226,4193.510391386981,3270.0
2023-09-08 02:41:25,5167.984148564649,5083.1300567634335,4736.275333954799,58.15429221107531,5409.3696,5005.1304,4850.2446,5557.1396,5096.803,5224.334686091577,6910.0
2023-09-08 02:41:30,5866.009166383555,5548.176322815078,5652.9090566360965,58.15421519775415,6262.0034,5146.0376,6073.752,6299.304,5995.2915,5849.292865950509,4730.0
2023-09-08 02:41:35,6366.011266914465,5771.951815208687,6439.807670630788,58.15413803918196,6814.892,6184.4883,6565.286,6350.569,6727.1743,5963.845569683183,7220.0
2023-09-08 02:41:40,6724.167628296032,5970.806989940744,7589.768391905492,58.154060735359415,6853.277,6285.27,6069.2256,6246.822,6279.3853,5984.417956757231,7120.0
2023-09-08 02:41:45,6980.7185089060895,6250.013589409612,9170.4767065532,58.15398328628706,6585.0376,6248.8364,5968.963,5894.2856,6687.7163,6454.00577370752,1930.0
2023-09-08 02:41:50,7142.968219537012,7173.798521907374,7267.318905166156,58.44278414306783,7245.69,6966.2153,6758.9277,7467.0557,6334.2886,7395.785637840056,9110.0
