Time,Predicted,Actual,Raw
2023-09-08 04:02:40,0.1082110325429023,0.1133694665419202,0.0579999999999999
2023-09-08 04:02:45,0.108700462565152,0.1250556093958345,0.124
2023-09-08 04:02:50,0.1129676534907307,0.140663825762298,0.144
2023-09-08 04:02:55,0.1240040061881011,0.1461010016811476,0.206
2023-09-08 04:03:00,0.1318774018787375,0.1384798497226866,0.122
2023-09-08 04:03:05,0.1290759708663884,0.1282422165394879,0.054
2023-09-08 04:03:10,0.1245991179486047,0.1258270541899536,0.192
2023-09-08 04:03:15,0.1286841655450198,0.1324006188448624,0.114
2023-09-08 04:03:20,0.1370382618700843,0.1437515275831871,0.154
2023-09-08 04:03:25,0.1428385219484726,0.1559420082130921,0.136
2023-09-08 04:03:30,0.1611639813913228,0.1652877538846234,0.174
2023-09-08 04:03:35,0.155635313677749,0.1679811602318645,0.176
2023-09-08 04:03:40,0.1599011462774856,0.1627313739101811,0.1639999999999999
2023-09-08 04:03:45,0.1533261439840114,0.1525328970857912,0.138
2023-09-08 04:03:50,0.1479864418026254,0.1430541807481187,0.152
2023-09-08 04:03:55,0.1434748433454954,0.1399291611165844,0.166
2023-09-08 04:04:00,0.142558143047558,0.1455445751730069,0.088
2023-09-08 04:04:05,0.1437236966393984,0.155017542812166,0.162
2023-09-08 04:04:10,0.145558781023531,0.1579583094759205,0.2
2023-09-08 04:04:15,0.1480497446606906,0.1497702574784544,0.168
2023-09-08 04:04:20,0.1390170464309509,0.1391199030817416,0.096
2023-09-08 04:04:25,0.1379353584662746,0.1382677835373489,0.118
2023-09-08 04:04:30,0.1401977506870761,0.1472736674636998,0.158
2023-09-08 04:04:35,0.1468507469182898,0.1527825018596179,0.1939999999999999
2023-09-08 04:04:40,0.1474508102155305,0.1417818784357555,0.092
2023-09-08 04:04:45,0.1190111437836917,0.1142172996024756,0.166
2023-09-08 04:04:50,0.1021920029351151,0.0850212630060122,0.084
2023-09-08 04:04:55,0.1009413002110619,0.0752635513312366,0.032
2023-09-08 04:05:00,0.113531375908067,0.0956714497663309,0.1
2023-09-08 04:05:05,0.1297549767878872,0.1346438927081898,0.096
2023-09-08 04:05:10,0.1715418591260845,0.1654256194667314,0.258
2023-09-08 04:05:15,0.1809090915831227,0.168902311648232,0.144
2023-09-08 04:05:20,0.1731709796365198,0.1491773599127318,0.14
2023-09-08 04:05:25,0.1596928427635413,0.1265842397525237,0.118
2023-09-08 04:05:30,0.1418278067801152,0.1181171158285708,0.1
2023-09-08 04:05:35,0.125812474247359,0.1251750180065597,0.138
2023-09-08 04:05:40,0.1349664021655675,0.1366452801694116,0.142
2023-09-08 04:05:45,0.150000020560018,0.1408605774214978,0.166
2023-09-08 04:05:50,0.1545761141366975,0.1346129727203521,0.086
2023-09-08 04:05:55,0.1524529968404458,0.1234399676470707,0.172
