Time,Predicted,Actual,Raw
2023-09-08 04:02:40,6734.720115016453,7052.806524065582,5340.0
2023-09-08 04:02:45,6721.183361559298,7644.241758572981,6680.0
2023-09-08 04:02:50,7512.421982029699,8791.675560492611,6990.0
2023-09-08 04:02:55,7456.937612980397,9308.99549813688,15600.0
2023-09-08 04:03:00,6938.423026863776,8553.156125427024,6590.0
2023-09-08 04:03:05,7055.307902937184,7056.623687048599,3980.0
2023-09-08 04:03:10,6095.873559975831,5894.75048283584,8330.0
2023-09-08 04:03:15,5432.039942591076,5750.602903235716,4920.0
2023-09-08 04:03:20,5774.945328620332,6639.5859742963785,6230.0
2023-09-08 04:03:25,6646.205662271458,8114.800381597004,8550.0
2023-09-08 04:03:30,9799.658457982783,9555.049763657718,10600.0
2023-09-08 04:03:35,10345.339236627366,10419.093011632163,7960.0
2023-09-08 04:03:40,9865.098088765011,10393.953998608778,13300.0
2023-09-08 04:03:45,8185.223038491742,9478.344207123211,7140.0
2023-09-08 04:03:50,6312.411591759498,8055.054424231112,10200.0
2023-09-08 04:03:55,6564.448333942129,6804.911266839323,6810.0
2023-09-08 04:04:00,5510.680013155463,6289.185509495499,2980.0
2023-09-08 04:04:05,5184.682410839236,6432.629788251385,7010.0
2023-09-08 04:04:10,5749.186575527474,6611.462856633639,9720.0
2023-09-08 04:04:15,6236.403802414747,6501.240686387918,7240.0
2023-09-08 04:04:20,6078.0559858236775,6582.311393800832,3840.0
2023-09-08 04:04:25,6450.746097551458,7445.959706186766,5280.0
2023-09-08 04:04:30,6562.956638182324,8821.550502111206,11500.0
2023-09-08 04:04:35,6909.950726857903,9692.688757186204,11200.0
2023-09-08 04:04:40,6826.729212349053,9260.706316126583,6260.0
2023-09-08 04:04:45,7506.007912573333,7565.9941827114035,9990.0
2023-09-08 04:04:50,6043.577517767681,5429.1291594881495,5950.0
2023-09-08 04:04:55,4982.803838448906,4000.962734886616,2180.0
2023-09-08 04:05:00,5271.9118802293,4013.29304909676,2780.0
2023-09-08 04:05:05,5958.184729807463,5140.632997599745,5550.0
2023-09-08 04:05:10,6547.671915400352,6241.45711689121,7490.0
2023-09-08 04:05:15,6381.3847226299,6446.866591756234,8550.0
2023-09-08 04:05:20,6041.891309124255,5994.003904515632,4610.0
2023-09-08 04:05:25,5848.497396523738,5865.533343040068,3980.0
2023-09-08 04:05:30,5817.60003237933,6628.474213848069,5690.0
2023-09-08 04:05:35,7778.18700849225,7795.966239740936,11000.0
2023-09-08 04:05:40,7969.620830775941,8349.21790610856,5780.0
2023-09-08 04:05:45,7970.100633241234,7726.977397485108,11400.0
2023-09-08 04:05:50,6801.100550026522,6302.23825302257,4070.000000000001
2023-09-08 04:05:55,6304.569837669472,5017.375979147068,4640.0
2023-09-08 04:06:00,4611.342673171855,4539.748186629156,4450.0
2023-09-08 04:06:05,5134.125716132547,4708.498546346216,2120.0
2023-09-08 04:06:10,5501.083510287011,4864.891261083718,11300.0
2023-09-08 04:06:15,6321.995467199709,4740.104690697421,1940.0
2023-09-08 04:06:20,7021.175839393402,4799.908412797787,2360.0
2023-09-08 04:06:25,5857.047721536512,5612.1861852544425,8690.0
2023-09-08 04:06:30,7386.632155480672,7107.779271455878,4200.0
2023-09-08 04:06:35,7668.864523168911,8535.996913073745,9430.0
2023-09-08 04:06:40,7358.2632588581855,8995.903016205184,11800.0
2023-09-08 04:06:45,6635.448759623768,8074.6604194840465,3390.0
2023-09-08 04:06:50,5870.1241881673695,6203.164587186489,12200.0
2023-09-08 04:06:55,4504.852556088035,4517.327977947623,1590.0
2023-09-08 04:07:00,3976.777349072332,4144.922041421445,1740.0
2023-09-08 04:07:05,4379.078847500941,5256.679089708166,4750.0
2023-09-08 04:07:10,5558.63772774204,6898.958941951698,11600.0
2023-09-08 04:07:15,7766.364678296244,7969.196233939541,6680.0
2023-09-08 04:07:20,7800.3965791257715,8120.526575766741,5680.0
2023-09-08 04:07:25,6689.163338828461,7633.392309657667,9970.0
2023-09-08 04:07:30,6749.828121437228,6858.700417646874,5680.0
2023-09-08 04:07:35,6205.1293501495,6028.720564400739,5180.0
2023-09-08 04:07:40,5381.339804340552,5399.886603475162,9060.0
2023-09-08 04:07:45,5164.901017469074,5341.456879320121,2530.0
2023-09-08 04:07:50,5374.286683914888,6048.2008432027615,4710.0
2023-09-08 04:07:55,5939.104580709576,7090.643736014687,7440.0
2023-09-08 04:08:00,6397.321189863252,7582.536902306349,10800.0
2023-09-08 04:08:05,7148.945283478979,7052.328109802082,4830.0
2023-09-08 04:08:10,5617.117935533114,6016.281975171966,8189.999999999999
2023-09-08 04:08:15,4447.979906986673,5565.467551956977,2830.0
2023-09-08 04:08:20,4693.113684449026,6373.481277544707,6590.0
2023-09-08 04:08:25,5605.179555353042,8027.635847883361,6250.0
2023-09-08 04:08:30,9703.06032925132,9331.051602055437,13800.0
2023-09-08 04:08:35,9766.439942888224,9353.608666799986,7960.0
2023-09-08 04:08:40,8464.476983385368,8160.507627967196,7710.0
2023-09-08 04:08:45,7167.571513690019,6519.909502316349,5830.0
2023-09-08 04:08:50,6099.837777648306,5118.708952752804,5120.0
2023-09-08 04:08:55,4340.01936915328,4181.094349015101,4810.0
2023-09-08 04:09:00,3966.4006841145065,3650.7371990429833,3890.0
2023-09-08 04:09:05,4207.3385726371225,3499.6963345218337,2460.0
2023-09-08 04:09:10,5419.507600352263,3837.426548041721,5720.0
2023-09-08 04:09:15,6213.353102487775,4803.25689463648,3410.0
2023-09-08 04:09:20,6577.875334915655,6301.304219426401,5560.0
