Time,LINEAR_REGRESSION,RANDOM_FOREST,FEEDFORWARD_NEURAL_NETWORK,Actual,Raw
2023-09-08 04:02:40,7123.5281268291255,6551.754044392109,6528.8779296875,7052.806524065582,5340.0
2023-09-08 04:02:45,6930.308982949578,6752.893933759567,6480.34716796875,7644.241758572981,6680.0
2023-09-08 04:02:50,7454.367050303025,7413.249481723574,7669.64892578125,8791.675560492611,6990.0
2023-09-08 04:02:55,7284.302850494994,7393.877175946197,7692.6328125,9308.99549813688,15600.0
2023-09-08 04:03:00,7234.187380812726,6808.957432200478,6772.1240234375,8553.156125427024,6590.0
2023-09-08 04:03:05,7122.444569743761,6834.125645772879,7112.00146484375,7056.623687048599,3980.0
2023-09-08 04:03:10,6070.792490971918,5885.833566041443,6158.55615234375,5894.75048283584,8330.0
2023-09-08 04:03:15,5739.215151425517,5373.876833702867,5418.1220703125,5750.602903235716,4920.0
2023-09-08 04:03:20,5947.453009671021,5724.58781033262,5772.19921875,6639.5859742963785,6230.0
2023-09-08 04:03:25,6580.764591246145,6752.398302840771,6622.29296875,8114.800381597004,8550.0
2023-09-08 04:03:30,9539.836162572645,9216.388219999288,10162.5927734375,9555.049763657718,10600.0
2023-09-08 04:03:35,10225.77687422567,9518.742789461632,10809.271484375,10419.093011632163,7960.0
2023-09-08 04:03:40,9663.66610400275,9406.715264629787,10149.7626953125,10393.953998608778,13300.0
2023-09-08 04:03:45,8069.064612049513,7817.031420919706,8404.625,9478.344207123211,7140.0
2023-09-08 04:03:50,6542.606297408172,6472.715973605682,6180.47314453125,8055.054424231112,10200.0
2023-09-08 04:03:55,6396.469928960027,6366.622823495487,6802.0234375,6804.911266839323,6810.0
2023-09-08 04:04:00,5672.648374777401,5485.292686485934,5461.7734375,6289.185509495499,2980.0
2023-09-08 04:04:05,5431.505478310869,5188.441910512192,5074.7705078125,6432.629788251385,7010.0
2023-09-08 04:04:10,5938.621039402327,5551.9617112496,5831.64013671875,6611.462856633639,9720.0
2023-09-08 04:04:15,6233.167061876327,6299.13783397402,6185.509765625,6501.240686387918,7240.0
2023-09-08 04:04:20,6198.565964808668,5932.808297950539,6115.93603515625,6582.311393800832,3840.0
2023-09-08 04:04:25,6372.734745303042,6230.546093468392,6654.67724609375,7445.959706186766,5280.0
2023-09-08 04:04:30,6642.3287895828,6298.083210388362,6710.92578125,8821.550502111206,11500.0
2023-09-08 04:04:35,6731.133921420617,6656.860942797322,7194.44091796875,9692.688757186204,11200.0
2023-09-08 04:04:40,6898.375965264096,6372.555373936592,7116.66748046875,9260.706316126583,6260.0
2023-09-08 04:04:45,7685.638561452251,7929.727056489082,7206.607421875,7565.9941827114035,9990.0
2023-09-08 04:04:50,6031.7462869549545,6370.712921945179,5885.0673828125,5429.1291594881495,5950.0
2023-09-08 04:04:55,5183.785547509824,5174.784189425078,4789.4306640625,4000.962734886616,2180.0
2023-09-08 04:05:00,5438.3563633448575,5471.533433912025,5091.37158203125,4013.29304909676,2780.0
2023-09-08 04:05:05,6029.558174011029,5985.436833901532,5910.05712890625,5140.632997599745,5550.0
2023-09-08 04:05:10,6274.976064289099,6697.361584301848,6600.56201171875,6241.45711689121,7490.0
2023-09-08 04:05:15,6451.736168675624,6138.490041524023,6474.61181640625,6446.866591756234,8550.0
2023-09-08 04:05:20,6026.821436141255,6011.30918298665,6065.1416015625,5994.003904515632,4610.0
2023-09-08 04:05:25,5723.964801164843,5941.135667496208,5859.94873046875,5865.533343040068,3980.0
2023-09-08 04:05:30,6026.781887492636,5829.81383413449,5710.56591796875,6628.474213848069,5690.0
2023-09-08 04:05:35,7821.107264964248,7809.599471378653,7740.302734375,7795.966239740936,11000.0
2023-09-08 04:05:40,8145.374162600764,8409.835096761502,7654.982421875,8349.21790610856,5780.0
2023-09-08 04:05:45,8008.096878081242,8542.81273561777,7657.615234375,7726.977397485108,11400.0
2023-09-08 04:05:50,6884.311175717524,7297.2993820735,6504.814453125,6302.23825302257,4070.000000000001
2023-09-08 04:05:55,6286.255014295126,6971.628480678623,5972.392578125,5017.375979147068,4640.0
2023-09-08 04:06:00,4291.386010925983,4601.246044313179,4777.1318359375,4539.748186629156,4450.0
2023-09-08 04:06:05,4818.508395361843,5333.112401103111,5206.91015625,4708.498546346216,2120.0
2023-09-08 04:06:10,5499.2318381079285,5741.95744058262,5397.39306640625,4864.891261083718,11300.0
2023-09-08 04:06:15,6289.775867230528,6675.802940755014,6184.5712890625,4740.104690697421,1940.0
2023-09-08 04:06:20,6965.642189331308,6797.889211589353,7146.17529296875,4799.908412797787,2360.0
2023-09-08 04:06:25,5804.280046312862,5816.164285436694,5915.0830078125,5612.1861852544425,8690.0
2023-09-08 04:06:30,6993.551345403372,7365.388822943312,7664.1416015625,7107.779271455878,4200.0
2023-09-08 04:06:35,7388.918771713224,7855.065929323825,7756.48828125,8535.996913073745,9430.0
2023-09-08 04:06:40,7385.03220363449,7214.67533647605,7418.61669921875,8995.903016205184,11800.0
2023-09-08 04:06:45,6560.812797447218,6675.492904444903,6664.05517578125,8074.6604194840465,3390.0
2023-09-08 04:06:50,5971.481884538343,5766.787192015538,5851.7978515625,6203.164587186489,12200.0
2023-09-08 04:06:55,4402.332661451916,4560.237541567899,4552.009765625,4517.327977947623,1590.0
2023-09-08 04:07:00,3711.1903054929353,4430.344977285802,3918.325927734375,4144.922041421445,1740.0
2023-09-08 04:07:05,4343.665869940628,4822.844923260167,4148.0322265625,5256.679089708166,4750.0
2023-09-08 04:07:10,5652.563890791498,5613.061802727383,5454.177734375,6898.958941951698,11600.0
