Time,Predicted,Actual,Raw
2023-09-08 04:02:40,6151.14282662552,6578.757974208454,5390.0
2023-09-08 04:02:45,6286.638706229782,7106.21526696806,6520.0
2023-09-08 04:02:50,6051.390698142942,7925.330054369578,6250.0
2023-09-08 04:02:55,6135.610544186195,8149.944687381421,13300.0
2023-09-08 04:03:00,6131.105453576697,7365.448525684678,5710.0
2023-09-08 04:03:05,5698.687754370964,6061.673978278303,3440.0
2023-09-08 04:03:10,4871.7274934730485,5103.995630284191,7340.0
2023-09-08 04:03:15,4510.149320225947,5015.628937982473,4260.0
2023-09-08 04:03:20,4670.495794985964,5795.4809383323645,5430.0
2023-09-08 04:03:25,5289.027292947422,7082.959419229356,7430.0
2023-09-08 04:03:30,8269.792026560248,8363.401888121156,9250.0
2023-09-08 04:03:35,8567.559255926248,9158.117164641724,7040.0
2023-09-08 04:03:40,8010.615437424805,9156.605099830516,11500.0
2023-09-08 04:03:45,6615.882539858799,8326.663240395836,6850.0
2023-09-08 04:03:50,5571.4881241350295,7016.548681238085,8360.0
2023-09-08 04:03:55,5675.362468866403,5869.297990987268,6000.0
2023-09-08 04:04:00,5226.482502424209,5408.726697148628,2570.0
2023-09-08 04:04:05,5124.373421024314,5567.112871184601,6090.0
2023-09-08 04:04:10,5460.096025351667,5779.474515914483,8450.0
2023-09-08 04:04:15,5762.936799114905,5734.555096756917,6310.0
2023-09-08 04:04:20,5745.481768499712,5818.078497210936,3450.0
2023-09-08 04:04:25,5975.91872315724,6529.709313463678,4930.0
2023-09-08 04:04:30,6302.88331931006,7658.52640695366,9660.0
2023-09-08 04:04:35,5964.806817079518,8364.97778469872,9700.0
2023-09-08 04:04:40,5969.712197260332,7976.648663867968,5480.0
2023-09-08 04:04:45,6741.014512450066,6520.787575977468,8610.0
2023-09-08 04:04:50,5734.949063175879,4697.117862246564,5130.0
2023-09-08 04:04:55,5113.747906056111,3496.725310257427,1880.0
2023-09-08 04:05:00,5130.368239806486,3541.9232532899364,2510.0
2023-09-08 04:05:05,5748.636678763467,4531.945081153677,4790.0
2023-09-08 04:05:10,5499.597506343445,5470.559557429676,6880.0
2023-09-08 04:05:15,5524.938913875627,5623.292674128433,7070.0
2023-09-08 04:05:20,5423.894719225011,5221.63481372392,4150.0
2023-09-08 04:05:25,5633.25284272649,5121.489818742318,3480.0
2023-09-08 04:05:30,5177.569604367775,5799.643025972553,5110.0
2023-09-08 04:05:35,6678.3678791687,6824.854977581732,9410.0
2023-09-08 04:05:40,7405.8304012802,7315.730572074326,5220.0
2023-09-08 04:05:45,7389.789707811602,6786.801527806369,9920.0
2023-09-08 04:05:50,6485.927352422391,5557.21771163268,3600.0
2023-09-08 04:05:55,5717.262850747813,4439.785913452167,4170.0
2023-09-08 04:06:00,4003.5789266299776,4016.2966837212175,3930.0
2023-09-08 04:06:05,4393.473711528739,4160.501628161266,1890.0
2023-09-08 04:06:10,5037.804127866626,4316.249031488791,9930.0
2023-09-08 04:06:15,5877.728522271751,4251.5410297533645,1770.0
2023-09-08 04:06:20,5980.95415329018,4347.15825742223,2170.0
2023-09-08 04:06:25,4894.534334947943,5059.16422074945,7840.0
2023-09-08 04:06:30,6118.947732444025,6312.069852031599,3930.0
2023-09-08 04:06:35,6602.533730429526,7482.125346827299,8039.999999999999
2023-09-08 04:06:40,6616.118146806766,7831.467583898417,10200.0
2023-09-08 04:06:45,6218.074013262876,7018.248887930874,3160.0
2023-09-08 04:06:50,5387.31056299662,5402.183760533062,10500.0
2023-09-08 04:06:55,4063.638368199424,3952.055029582668,1430.0
2023-09-08 04:07:00,3888.623773129141,3641.06061283915,1530.0
2023-09-08 04:07:05,4534.305822924585,4620.933458854031,4280.0
2023-09-08 04:07:10,5451.107974830037,6070.685196764858,10100.0
2023-09-08 04:07:15,6720.950082632462,7027.284306104084,5720.0
2023-09-08 04:07:20,6671.71124235034,7160.388461580605,5110.0
2023-09-08 04:07:25,5751.512856134652,6692.945961336142,9260.0
2023-09-08 04:07:30,5382.398733147738,5960.61238108469,4260.0
2023-09-08 04:07:35,5208.708613887453,5220.466425561623,4670.0
2023-09-08 04:07:40,4778.777894615538,4704.191166553956,7890.0
2023-09-08 04:07:45,4743.287781104289,4688.273927637642,2330.0
2023-09-08 04:07:50,4998.319045118165,5306.231010183597,4180.0
2023-09-08 04:07:55,5256.953763813727,6197.297117714378,6430.0
2023-09-08 04:08:00,5575.866242738916,6628.21578132123,9370.0
2023-09-08 04:08:05,6039.771752347306,6203.225580716582,4290.0
2023-09-08 04:08:10,5078.700089639298,5344.364598687603,7220.0
2023-09-08 04:08:15,4127.451753550957,4958.270102815791,2660.0
2023-09-08 04:08:20,4453.101370324949,5614.828881076126,5820.0
2023-09-08 04:08:25,5070.429305000658,6983.076384464107,5410.0
2023-09-08 04:08:30,8128.788984405166,8070.442735238459,11900.0
2023-09-08 04:08:35,8188.725515094729,8094.276855660311,6840.0
2023-09-08 04:08:40,7334.711782857448,7096.5402294479045,6780.0
2023-09-08 04:08:45,6181.013595078896,5711.448664723272,5180.0
2023-09-08 04:08:50,5565.741748452643,4517.063404389394,4400.0
2023-09-08 04:08:55,3695.428876945679,3712.0000791399975,4350.0
2023-09-08 04:09:00,3302.246462208258,3258.684743135975,3360.0
2023-09-08 04:09:05,4034.1328464663297,3139.4684405140288,2340.0
2023-09-08 04:09:10,4839.120116577113,3451.5129366489773,5070.0
2023-09-08 04:09:15,5515.063837449007,4313.740691945797,3040.0
2023-09-08 04:09:20,5515.3277418662965,5629.494235947925,4980.0
