Time,ARIMA,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 02:43:00,1762.446068118392,6083.0347,6010.54,6730.369,5737.337,6401.7573,430.3271279539471,1040.0
2023-09-08 02:43:05,240.28657887866387,867.27795,512.81085,1553.9451,1086.4851,800.68536,929.8138161684363,444.0
2023-09-08 02:43:10,103.9692987366632,2013.8528,2952.5005,2920.5105,1996.4801,2012.9486,2823.451054671695,395.0
2023-09-08 02:43:15,6.188057018868506,3606.7786,4059.6846,4388.22,3544.0806,3728.5386,5498.563470510429,7710.0
2023-09-08 02:43:20,-63.95104216147016,5792.7227,5982.8154,5391.1377,4777.771,5099.479,7660.020594026005,7430.0
2023-09-08 02:43:25,-114.26225878548765,6408.1973,6589.6943,6046.465,5360.844,5608.4604,8184.860568913931,7810.0
2023-09-08 02:43:30,7764.270508457739,7035.055,8194.244,7301.0,7100.742,8388.443,6904.223977943428,9740.0
2023-09-08 02:43:35,7462.411226925101,6229.207,7368.427,6354.213,5865.446,6563.075,4765.49472009947,2310.0
2023-09-08 02:43:40,7245.765532187168,5276.72,6652.8716,5452.382,5582.1562,5254.8545,3238.919032523497,2910.0
2023-09-08 02:43:45,7090.277992396524,5608.4185,5601.851,5367.804,5428.737,4641.447,3337.7242852137465,4220.0
2023-09-08 02:43:50,6978.683921443983,6120.1045,5201.895,5602.6206,5726.6216,5271.4536,4941.18624301933,2660.0
2023-09-08 02:43:55,6799.230620509514,7211.446,6290.4565,6624.6416,7202.1772,2467.7153,6848.512999687399,7600.0
2023-09-08 02:44:00,8134.312096474369,9039.108,6190.1016,7475.2065,8361.428,6090.36,7584.707222042375,9240.0
2023-09-08 02:44:05,9093.623170557645,9073.183,6431.8105,7477.2935,7895.5225,7586.487,6566.446040749723,9140.0
2023-09-08 02:44:10,9782.92772119844,8493.689,6084.901,6886.79,7017.041,5006.8857,4644.5237937248485,1180.0
2023-09-08 02:44:15,10278.221454764642,7424.123,5882.406,6301.1416,5939.999,4681.586,3311.855443423643,2260.0
2023-09-08 02:44:20,2729.538151174601,3182.5012,4721.416,3188.0537,3538.1326,1632.1565,3327.269833718656,4240.0
2023-09-08 02:44:25,2312.660073303741,3713.3823,5627.021,3444.8103,3849.685,-729.3069,4195.97404260845,3470.0
2023-09-08 02:44:30,2014.219113156231,4252.849,5099.6704,4713.176,4702.424,1709.2659,4882.253557771801,6820.0
2023-09-08 02:44:35,1800.566701523881,4812.0244,6128.235,5745.636,5417.2803,2847.0693,4889.888348132266,6570.0
2023-09-08 02:44:40,1647.613993645723,5095.1577,5988.9893,6445.6445,6016.938,6111.292,4643.0263077321015,1440.0
2023-09-08 02:44:45,4501.757000896521,5268.3477,5582.507,4463.1343,4293.65,5695.202,4835.170635987327,3940.0
2023-09-08 02:44:50,4400.816307356943,5626.66,5764.4526,4461.2427,4599.027,4749.5,5569.477064040747,7320.0
2023-09-08 02:44:55,4328.691485338032,6281.0845,5261.554,4674.9907,5358.1255,4165.092,6338.606836344748,6810.0
2023-09-08 02:45:00,4277.15637329504,6343.691,5468.2627,4873.356,5213.026,4842.7954,6695.283107152384,6520.0
2023-09-08 02:45:05,4240.333159054214,5758.487,5504.085,4960.229,5647.5117,5296.136,6678.371808629586,5470.0
2023-09-08 02:45:10,6568.147055964965,6493.9297,6315.518,6680.475,6444.721,7740.932,6684.69059735945,9530.0
2023-09-08 02:45:15,6489.400797791854,6337.491,6320.258,6300.3066,6331.2744,5695.756,7085.909955921741,4200.0
2023-09-08 02:45:20,6433.143260112146,6228.332,6176.8813,5923.4194,5900.5273,5996.307,7801.990690676024,6230.0
2023-09-08 02:45:25,6392.95201015045,5928.1377,5887.4165,5644.176,5556.4263,6162.1953,8175.415134130349,11800.0
2023-09-08 02:45:30,6364.238763177572,5852.4375,5722.888,5344.2075,5537.4194,5919.0054,7532.234375547519,6950.0
2023-09-08 02:45:35,6450.668592228751,5990.605,6336.924,5969.8306,6172.825,7038.5776,5953.28187153231,6330.0
2023-09-08 02:45:40,5678.205406683188,4870.0303,5607.1816,5307.6597,5114.2383,6412.8022,4302.890326020776,3230.0
2023-09-08 02:45:45,5126.505840899741,4464.362,5821.7285,5191.489,5000.61,5107.705,3464.890357833392,2560.0
2023-09-08 02:45:50,4732.477469605028,4830.0796,5722.813,5428.2627,5183.018,5519.7075,3642.627835712849,3870.0
2023-09-08 02:45:55,4451.059163312385,5753.563,5780.936,5841.6675,5533.6323,5921.5103,4367.434076255499,6590.0
2023-09-08 02:46:00,5073.215100707255,5103.002,5993.598,4682.4014,4799.436,6124.886,5019.09433253209,2240.0
2023-09-08 02:46:05,5577.575283014527,5565.554,6087.4517,5421.557,5042.8237,6779.988,5252.88147408679,7060.0
2023-09-08 02:46:10,5937.997545280111,5964.1343,5939.8745,5525.8003,5337.3774,6819.326,5120.558913293896,5690.0
2023-09-08 02:46:15,6195.559921719851,6183.51,5847.1396,5469.89,5552.7334,7293.633,4984.474711264158,3740.0
2023-09-08 02:46:20,6379.617303026681,6273.9688,6043.6055,5658.6963,5359.0093,6207.7983,5188.86566136353,4890.0
2023-09-08 02:46:25,5556.263955996346,5454.4663,6027.949,5462.247,5585.6636,5327.16,5667.790495316961,4380.0
2023-09-08 02:46:30,5818.676703203787,5703.094,5965.732,5404.069,5830.8706,4965.5293,6002.967217061727,10200.0
2023-09-08 02:46:35,6006.103947431408,5662.8125,5624.4653,5283.391,5990.132,4972.823,5932.930902729328,3140.0
2023-09-08 02:46:40,6139.973099187935,5649.0405,5476.8267,5127.8916,5839.3247,4968.2207,5613.221534791869,5570.0
2023-09-08 02:46:45,6235.588599836539,5394.7046,5464.7803,5202.893,5968.458,4689.0234,5325.336331544684,5860.0
2023-09-08 02:46:50,5138.731485930792,5382.437,5591.3955,5433.7764,4847.175,4808.2363,5144.083272830095,5020.0
2023-09-08 02:46:55,5005.454579987786,5227.191,5768.8804,5487.4043,5362.173,4764.097,4942.027096179279,4320.0
2023-09-08 02:47:00,4910.265553147112,5185.1143,5796.4165,5603.876,5321.087,5191.622,4596.726470415812,5360.0
2023-09-08 02:47:05,4842.279649912312,5367.3057,5843.5957,5515.506,5748.2744,4981.9233,4225.870612159165,5480.0
2023-09-08 02:47:10,4793.722760614685,5372.8325,5938.964,5547.174,5978.5474,5060.665,4236.3329407133215,3140.0
2023-09-08 02:47:15,4520.109952307023,4893.585,5496.4487,4733.901,4569.524,4541.881,4957.1365642481,2070.0
2023-09-08 02:47:20,4722.76851131048,5498.9004,5515.9175,5738.3257,5333.7944,5229.0215,6177.7317790483685,10700.0
2023-09-08 02:47:25,4867.496554314048,5790.7285,5416.77,6088.789,5710.968,6078.8325,7221.058303951741,3180.0
2023-09-08 02:47:30,4970.853681368748,6025.5,5503.7124,6446.857,6039.8315,7069.679,7505.73461029242,12100.0
2023-09-08 02:47:35,5044.665884527869,5799.821,5377.342,5987.4937,6228.0806,6662.9946,6976.347780822869,2990.0
2023-09-08 02:47:40,6228.670642666452,6329.1943,7414.179,6021.5215,6357.2437,6563.973,6078.479030893855,8980.0
2023-09-08 02:47:45,5694.521191531305,5717.982,6670.2915,5297.0864,5698.8037,5334.4214,5410.189807560087,4000.0
2023-09-08 02:47:50,5312.918462776624,5476.112,6392.525,4865.959,5539.2285,5359.716,5301.648625923177,3380.0
2023-09-08 02:47:55,5040.296929077482,5572.392,5767.111,4966.912,5483.3984,5410.853,5601.94422389463,9020.0
2023-09-08 02:48:00,4845.532858917355,5522.614,5595.541,5283.9893,5485.5874,5264.2095,5872.934599589334,3450.0
2023-09-08 02:48:05,5990.890974284098,5774.541,5869.624,6507.426,5739.714,5617.583,5789.5768240637935,7740.0
