Time,ARIMA,ETS,Actual
2023-09-08 02:39:20,0.16914002858079308,0.1587940530326401,0.156
2023-09-08 02:39:25,0.1615090440349543,0.17166041899717663,0.154
2023-09-08 02:39:30,0.15601230507716501,0.15415750576892506,0.128
2023-09-08 02:39:35,0.15668579858060133,0.1449376678532073,0.154
2023-09-08 02:39:40,0.15567482163188892,0.1455444126780624,0.162
2023-09-08 02:39:45,0.15623496024967204,0.1495709486528357,0.122
2023-09-08 02:39:50,0.14425805941825004,0.1371792790046117,0.0559999999999999
2023-09-08 02:39:55,0.1517038572038421,0.1554335296527167,0.148
2023-09-08 02:40:00,0.15174361767353883,0.12580725070050677,0.2019999999999999
2023-09-08 02:40:05,0.15299692677306007,0.13913105932218883,0.18
2023-09-08 02:40:10,0.16352188872030277,0.17342686897653126,0.192
2023-09-08 02:40:15,0.15799834976577593,0.17214970492090273,0.18
2023-09-08 02:40:20,0.16432753285751256,0.1608070977596707,0.124
2023-09-08 02:40:25,0.15906641740950184,0.1736240012671298,0.138
2023-09-08 02:40:30,0.14919018227101496,0.14464396443286323,0.22
2023-09-08 02:40:35,0.15299749574456542,0.13595258334549548,0.186
2023-09-08 02:40:40,0.16706414138961406,0.16533040662550508,0.16
2023-09-08 02:40:45,0.16064680624014147,0.1688948724028213,0.138
2023-09-08 02:40:50,0.15030491866401588,0.14980311395662096,0.156
2023-09-08 02:40:55,0.15447336867172495,0.16954865212617123,0.136
2023-09-08 02:41:00,0.14933835071936777,0.1495120211553666,0.178
2023-09-08 02:41:05,0.1538666121577326,0.16439714860621732,0.108
2023-09-08 02:41:10,0.139243209325853,0.16568755454243123,0.146
2023-09-08 02:41:15,0.14983530272182297,0.16450617101744414,0.126
2023-09-08 02:41:20,0.14496667456821177,0.1345264640485974,0.078
2023-09-08 02:41:25,0.15139954535061137,0.14726552797251377,0.154
2023-09-08 02:41:30,0.15368042431355677,0.12606132127218256,0.158
2023-09-08 02:41:35,0.1535717579081254,0.11723234803469768,0.136
2023-09-08 02:41:40,0.14729772381590592,0.13201083856267765,0.162
2023-09-08 02:41:45,0.15113743603010601,0.1345708571563042,0.04
2023-09-08 02:41:50,0.11279756787756506,0.10610406091099901,0.166
2023-09-08 02:41:55,0.13756082262784128,0.12612250887558873,0.206
2023-09-08 02:42:00,0.17101580971938493,0.14335410862150627,0.156
2023-09-08 02:42:05,0.1591726750359825,0.15799536546299964,0.148
2023-09-08 02:42:10,0.15100728664603807,0.1667861971745638,0.2
2023-09-08 02:42:15,0.15202116612787883,0.16523680023391835,0.168
2023-09-08 02:42:20,0.15858478113516983,0.15412811174583968,0.144
2023-09-08 02:42:25,0.15542593091786372,0.16903735327340413,0.106
2023-09-08 02:42:30,0.13671213550822037,0.13927657103389965,0.066
2023-09-08 02:42:35,0.14702490015175051,0.12951550942142068,0.0279999999999999
2023-09-08 02:42:40,0.10699156357480039,0.09664969477343922,0.066
2023-09-08 02:42:45,0.13391285404639997,0.09865462896745092,0.066
2023-09-08 02:42:50,0.11798964732676145,0.07414800812525543,0.064
2023-09-08 02:42:55,0.13589128862887107,0.09519930995692429,0.046
2023-09-08 02:43:00,0.10847490219633543,0.06690731550006226,0.066
2023-09-08 02:43:05,0.13016948996677888,0.08075922174540504,0.04
2023-09-08 02:43:10,0.1037112714418951,0.07979811842140742,0.044
2023-09-08 02:43:15,0.1259989393017821,0.07729118994329896,0.148
2023-09-08 02:43:20,0.1410663158684963,0.07155903823876833,0.12
2023-09-08 02:43:25,0.13865293892570293,0.08473532408854348,0.136
2023-09-08 02:43:30,0.136492300922191,0.09356774172340901,0.184
2023-09-08 02:43:35,0.13666527105233175,0.08412364291404358,0.104
2023-09-08 02:43:40,0.12513186650419322,0.11239923998952209,0.072
2023-09-08 02:43:45,0.1325202494644983,0.1138949854953235,0.1119999999999999
2023-09-08 02:43:50,0.12652010474166434,0.09591871085576431,0.096
2023-09-08 02:43:55,0.13159375762710063,0.11681081980132293,0.0819999999999999
2023-09-08 02:44:00,0.11408461168492143,0.09434828442988945,0.126
2023-09-08 02:44:05,0.1252612646947314,0.10548902253151739,0.15
2023-09-08 02:44:10,0.13885436272894577,0.1334508688708796,0.09
2023-09-08 02:44:15,0.13493964843795203,0.1313547451402283,0.052
2023-09-08 02:44:20,0.10096713840318326,0.08698959208782894,0.086
2023-09-08 02:44:25,0.11818968712568992,0.10106275243150278,0.148
2023-09-08 02:44:30,0.13536612519839097,0.09994540505605828,0.134
2023-09-08 02:44:35,0.13091777324863163,0.0900716591253034,0.138
2023-09-08 02:44:40,0.13199636478651458,0.11348376002228586,0.072
2023-09-08 02:44:45,0.12988692557682038,0.11444613446472154,0.086
2023-09-08 02:44:50,0.11098622609736282,0.09076356708599087,0.122
2023-09-08 02:44:55,0.11967797099805515,0.11052858894956669,0.13
2023-09-08 02:45:00,0.1270869553231113,0.1096739446948586,0.14
2023-09-08 02:45:05,0.12605706484066873,0.12032631069611993,0.19
2023-09-08 02:45:10,0.14928901352364526,0.1526372575990217,0.218
2023-09-08 02:45:15,0.13505052992928965,0.15003422237723962,0.134
2023-09-08 02:45:20,0.13104774612884876,0.14241681587577654,0.126
2023-09-08 02:45:25,0.1300091605746198,0.1575214596108521,0.2019999999999999
2023-09-08 02:45:30,0.1567218859580667,0.15217626081576163,0.15
2023-09-08 02:45:35,0.1407638236711642,0.14392323785842412,0.168
2023-09-08 02:45:40,0.14545885468987346,0.15134971820991525,0.104
2023-09-08 02:45:45,0.13752230488462902,0.15350691165512848,0.1159999999999999
