FormattedTime,LINEAR_REGRESSION,RANDOM_FOREST,FEEDFORWARD_NEURAL_NETWORK
04:41:50,0.2059069704757789,0.22503333086456348,0.23199267313955044
04:41:55,0.20812561261527246,0.2077348197598135,0.21949010289192383
04:42:00,0.19184266766691588,0.19052847147531896,0.19997659630882775
04:42:05,0.17927322274833762,0.17739456245094792,0.18609932953154856
04:42:10,0.19610126520893809,0.19174875903087785,0.1928966740113798
04:42:15,0.18800366078074107,0.18330515177764647,0.18452940500742274
04:42:20,0.18286038567875088,0.1766662811263035,0.17755415396987553
04:42:25,0.17754779421520306,0.17523113575988006,0.1721997177830559
04:42:30,0.1961616475989959,0.21079380593773828,0.20582008574537766
04:42:35,0.20840755540159606,0.2377652409095142,0.22613700359785832
04:42:40,0.2046945971982284,0.23315439608675334,0.22182315185657986
04:42:45,0.20078708947110124,0.2290541048845499,0.21737731856417344
04:42:50,0.19697997149188684,0.22460679545532877,0.21313260950359464
04:42:55,0.2075081521146989,0.22963462088037465,0.2181157901429026
04:43:00,0.2128737707537971,0.22688417482311118,0.21847436782638466
04:43:05,0.21143714994722654,0.22419225928296777,0.21658165291667825
04:43:10,0.21038987885385746,0.2213965503713304,0.214651199985175
04:43:15,0.2115325696528568,0.2261206872234731,0.2152849062406122
04:43:20,0.20978983541043608,0.22655763295995784,0.2132121828967297
04:43:25,0.20971660286049126,0.2242287044349812,0.2130617760764136
04:43:30,0.2073923682674752,0.22221725437743972,0.21079027203897738
04:43:35,0.20635574744175314,0.22049489379097445,0.20953583905693457
04:43:40,0.20478387228521253,0.2185001940395889,0.2078318659227297
04:43:45,0.2038591363836514,0.21649228440628338,0.20675250966687841
04:43:50,0.2018005522902118,0.21462697794941774,0.20481007897012465
04:43:55,0.2013834975077872,0.2134669288736028,0.204475080528766
04:44:00,0.2018177143520585,0.21392542977910597,0.20474310044701677
04:44:05,0.20008066720453083,0.2120220923806096,0.2029607088456085
04:44:10,0.2066102692977868,0.21527533961116402,0.2087085503620011
04:44:15,0.2227306736774736,0.22553346677038436,0.22177863639966858
