FormattedTime,LINEAR_REGRESSION,RANDOM_FOREST,FEEDFORWARD_NEURAL_NETWORK,Raw,L3_WEIGHTED_AVERAGE
04:02:40,0.112072638914261,0.1133734676039,0.114384233951568,0.058,0.11327678015657633
04:02:45,0.129267155543696,0.1231094392365,0.126858815550804,0.124,0.12641180344366665
04:02:50,0.152435396162938,0.1434836077142,0.14260122179985,0.144,0.146173408558996
04:02:55,0.165686837064501,0.1576877734049,0.15599001944065,0.206,0.159788209970017
04:03:00,0.161344291100408,0.1535552162624,0.15238881111145,0.122,0.15576277282475265
04:03:05,0.130887369272101,0.1247521166732,0.137855112552642,0.054,0.131164866165981
04:03:10,0.133911986310188,0.1308140329603,0.138308435678482,0.192,0.13425936098780963
04:03:15,0.149401713900233,0.1437562083478,0.1492460668087,0.114,0.14747104064852387
04:03:20,0.162275939866152,0.1547084080576,0.153818026185035,0.154,0.15709857231157803
04:03:25,0.164893968325045,0.1598980435709,0.166726872324943,0.136,0.16380401258018473
04:03:30,0.169296964229085,0.1720822087987,0.166969552636146,0.174,0.16949481124293017
04:03:35,0.172601991241838,0.174399832957,0.174556881189346,0.176,0.17384937185044294
04:03:40,0.177781255372783,0.1749894444454,0.189174637198448,0.164,0.1800629772749843
04:03:45,0.176960823448254,0.1775074194549,0.186487689614295,0.138,0.17995173487145505
04:03:50,0.172678068356371,0.1741889518898,0.180213555693626,0.152,0.17544922339263988
04:03:55,0.138497946303367,0.1352030750986,0.138079896569252,0.166,0.13713716575396045
04:04:00,0.142726595007672,0.1366615373319,0.142378821969032,0.088,0.14031909419807034
04:04:05,0.149385372968073,0.1455771547717,0.148677036166191,0.162,0.14774049283824442
04:04:10,0.153601292480476,0.1483710184578,0.155342027544975,0.2,0.15208000410867728
04:04:15,0.150771496891365,0.1477230579702,0.152457162737846,0.168,0.1500672895514167
04:04:20,0.136501183422586,0.1352030750986,0.13962498307228,0.096,0.1368555010333962
04:04:25,0.139460538805585,0.1358855663459,0.141120851039886,0.118,0.13864543587739506
04:04:30,0.154724614019285,0.1446479085692,0.152492493391037,0.158,0.1504139985369507
04:04:35,0.168198351162611,0.1664529302755,0.161246612668037,0.194,0.16553962895327964
04:04:40,0.171287762818085,0.1678575132584,0.163359358906745,0.092,0.1677325501491805
04:04:45,0.113908851521541,0.1187884200394,0.116725623607635,0.166,0.11650180526824747
04:04:50,0.080860569348833,0.0773167394712,0.085587203502655,0.084,0.08101106180504775
04:04:55,0.0660797397505614,0.076443926517,0.0692928880453109,0.032,0.07078707514152555
04:05:00,0.080700342886223,0.0780579705045,0.0795802772045135,0.1,0.07940929274913096
04:05:05,0.107256805416968,0.1105248839987,0.101551786065101,0.096,0.10671128702269986
04:05:10,0.168929378090138,0.1729687895522,0.171094685792922,0.258,0.17103990220030252
04:05:15,0.170064231922148,0.1743164916987,0.173889830708503,0.144,0.1727406247064004
04:05:20,0.150655945776368,0.1606042642206,0.168685540556907,0.14,0.1597347075223894
04:05:25,0.132249945380141,0.134032714281,0.140739664435386,0.118,0.13550861343329856
04:05:30,0.120102404224755,0.1181580952591,0.120603270828723,0.1,0.11957682053762655
04:05:35,0.128270220902489,0.1233850095701,0.131652891635894,0.138,0.12760877018695488
04:05:40,0.139736356778167,0.134534317599,0.133381724357604,0.142,0.13595600474078537
04:05:45,0.149752052114142,0.1494144360845,0.139799267053604,0.166,0.14658422016931605
04:05:50,0.149141804231096,0.1499325317453,0.142929315567016,0.086,0.1475174785781999
04:05:55,0.146135437288429,0.1441750699429,0.14489971101284,0.172,0.14506585883972267
04:06:00,0.117107243056656,0.1181967300101,0.118230260908603,0.11,0.11783530551714486
04:06:05,0.113925285332249,0.1178477192621,0.113075606524944,0.044,0.1150192147679083
04:06:10,0.123085168928679,0.1223966291992,0.121797129511833,0.214,0.12244422643730937
04:06:15,0.132045065563295,0.133307629344,0.126870974898338,0.126,0.13086645250647405
04:06:20,0.138869630785397,0.1336950771553,0.132212802767753,0.118,0.13499707258710525
04:06:25,0.146647556619883,0.145865719338,0.139530315995216,0.164,0.14415349534987107
04:06:30,0.147333258558226,0.1463703966156,0.139921471476554,0.15,0.14464784573630624
04:06:35,0.147931224656623,0.1469428646217,0.147142127156257,0.108,0.14734357049719177
