Time,status,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,cpu_usage_4,cpu_usage_5,cpu_usage_6,cpu_usage_7,cpu_usage_8,cpu_usage_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9,bandwidth_inbound_0,bandwidth_inbound_1,bandwidth_inbound_2,bandwidth_inbound_3,bandwidth_inbound_4,bandwidth_inbound_5,bandwidth_inbound_6,bandwidth_inbound_7,bandwidth_inbound_8,bandwidth_inbound_9,bandwidth_outbound_0,bandwidth_outbound_1,bandwidth_outbound_2,bandwidth_outbound_3,bandwidth_outbound_4,bandwidth_outbound_5,bandwidth_outbound_6,bandwidth_outbound_7,bandwidth_outbound_8,bandwidth_outbound_9,tps_0,tps_1,tps_2,tps_3,tps_4,tps_5,tps_6,tps_7,tps_8,tps_9,response_time_0,response_time_1,response_time_2,response_time_3,response_time_4,response_time_5,response_time_6,response_time_7,response_time_8,response_time_9

8/9/2023 01:16:45,0,0.089998,0.140832,0.165475,0.158521,0.135633,0.115186,0.103803,0.100123,0.105151,0.120939,0.534982,0.545651,0.554129,0.557796,0.555425,0.548461,0.539853,0.532524,0.52891,0.530638,7458.203766,7680.477343,7776.629874,7576.691708,6969.16745,5972.857828,4791.297828,3901.031388,3869.807938,4863.893231,6448.480003,6701.942377,6800.995909,6603.820189,6060.790671,5224.668694,4260.284459,3531.924282,3496.972718,4314.927853,1.999536573,2.541410345,2.883118106,2.92168116,2.719756762,2.45211176,2.266627276,2.224433526,2.331968404,2.530047127,607.0700086,1954.233745,2619.752844,2396.197276,1643.795343,938.0537666,632.5001691,730.1384904,1037.791443,1328.336866

8/9/2023 01:16:50,0,0.140832,0.165475,0.158521,0.135633,0.115186,0.103803,0.100123,0.105151,0.120939,0.141676,0.545651,0.554129,0.557796,0.555425,0.548461,0.539853,0.532524,0.52891,0.530638,0.537676,7680.477343,7776.629874,7576.691708,6969.16745,5972.857828,4791.297828,3901.031388,3869.807938,4863.893231,6418.339657,6701.942377,6800.995909,6603.820189,6060.790671,5224.668694,4260.284459,3531.924282,3496.972718,4314.927853,5619.437948,2.541410345,2.883118106,2.92168116,2.719756762,2.45211176,2.266627276,2.224433526,2.331968404,2.530047127,2.670532301,1954.233745,2619.752844,2396.197276,1643.795343,938.0537666,632.5001691,730.1384904,1037.791443,1328.336866,1423.798099

8/9/2023 01:16:55,0,0.165475,0.158521,0.135633,0.115186,0.103803,0.100123,0.105151,0.120939,0.141676,0.155505,0.554129,0.557796,0.555425,0.548461,0.539853,0.532524,0.52891,0.530638,0.537676,0.547323,7776.629874,7576.691708,6969.16745,5972.857828,4791.297828,3901.031388,3869.807938,4863.893231,6418.339657,7776.142444,6800.995909,6603.820189,6060.790671,5224.668694,4260.284459,3531.924282,3496.972718,4314.927853,5619.437948,6765.183911,2.883118106,2.92168116,2.719756762,2.45211176,2.266627276,2.224433526,2.331968404,2.530047127,2.670532301,2.615782565,2619.752844,2396.197276,1643.795343,938.0537666,632.5001691,730.1384904,1037.791443,1328.336866,1423.798099,1273.160468

8/9/2023 01:17:00,0,0.158521,0.135633,0.115186,0.103803,0.100123,0.105151,0.120939,0.141676,0.155505,0.157834,0.557796,0.555425,0.548461,0.539853,0.532524,0.52891,0.530638,0.537676,0.547323,0.554566,7576.691708,6969.16745,5972.857828,4791.297828,3901.031388,3869.807938,4863.893231,6418.339657,7776.142444,8402.332246,6603.820189,6060.790671,5224.668694,4260.284459,3531.924282,3496.972718,4314.927853,5619.437948,6765.183911,7282.931868,2.92168116,2.719756762,2.45211176,2.266627276,2.224433526,2.331968404,2.530047127,2.670532301,2.615782565,2.385924237,2396.197276,1643.795343,938.0537666,632.5001691,730.1384904,1037.791443,1328.336866,1423.798099,1273.160468,996.064272

8/9/2023 01:17:05,0,0.135633,0.115186,0.103803,0.100123,0.105151,0.120939,0.141676,0.155505,0.157834,0.156786,0.555425,0.548461,0.539853,0.532524,0.52891,0.530638,0.537676,0.547323,0.554566,0.554969,6969.16745,5972.857828,4791.297828,3901.031388,3869.807938,4863.893231,6418.339657,7776.142444,8402.332246,8214.710785,6060.790671,5224.668694,4260.284459,3531.924282,3496.972718,4314.927853,5619.437948,6765.183911,7282.931868,7113.321567,2.719756762,2.45211176,2.266627276,2.224433526,2.331968404,2.530047127,2.670532301,2.615782565,2.385924237,2.159515045,1643.795343,938.0537666,632.5001691,730.1384904,1037.791443,1328.336866,1423.798099,1273.160468,996.064272,800.4782654
