FormattedTime,ARIMA,RNN,LSTM,CNN,GRU,TCN,Raw,Average
04:02:40,6268.347684464384,6369.9541015625,7058.88330078125,6633.05615234375,6854.533203125,7252.4267578125,5390.0,6739.53353334823
04:02:45,5876.65854070868,6181.5390625,6266.27880859375,6402.7626953125,6662.015625,6784.494140625,6520.0,6362.291478789988
04:02:50,5598.768824219648,6249.66845703125,5912.7705078125,6104.80224609375,6415.7548828125,5885.31201171875,6250.0,6011.552926090146
04:02:55,5401.61581203783,6016.12841796875,5726.65283203125,6210.7060546875,5963.60302734375,5806.44677734375,13300.0,5855.527285713455
04:03:00,5261.74266126617,5781.1669921875,5554.7158203125,6051.08984375,5541.71044921875,5653.89453125,5710.0,5649.818754277102
04:03:05,6278.216158697809,6042.32080078125,5176.34912109375,5754.404296875,6056.146484375,7201.03857421875,3440.0,6065.762177143316
04:03:10,5507.224390092291,5048.1201171875,4194.76123046875,4694.30029296875,4923.6240234375,6281.9580078125,7340.0,5081.005328311708
04:03:15,4960.489096601306,5011.33349609375,4128.17333984375,4620.9541015625,4716.4814453125,6167.0595703125,4260.0,4875.568103908268
04:03:20,4572.781350136873,5504.1123046875,4849.56640625,5032.6630859375,4923.3837890625,5905.41748046875,5430.0,5134.105531106157
04:03:25,4297.845200124073,6151.60693359375,5657.5908203125,5726.20751953125,5618.37255859375,6008.30859375,7430.0,5600.017226460888
04:03:30,8295.617926835619,8626.11328125,8589.388671875,8164.2607421875,8209.025390625,7269.49853515625,9250.0,8215.086715962618
04:03:35,9156.09293020779,9003.140625,8302.455078125,8437.3681640625,8693.7177734375,6879.9736328125,7040.0,8431.46736696492
04:03:40,9766.666497938648,8326.7685546875,7299.13232421875,7632.95703125,8087.201171875,6665.736328125,11500.0,7944.19172296228
04:03:45,10199.915668629952,7291.8759765625,6294.005859375,6890.97607421875,6701.41552734375,5965.521484375,6850.0,7140.437383970088
04:03:50,10507.33946459002,6199.1259765625,5333.00048828125,6001.92626953125,5833.890625,5888.0341796875,8360.0,6608.790837232696
04:03:55,5810.532853406425,5856.82470703125,6241.1708984375,5934.1787109375,5979.27734375,5368.939453125,6000.0,5882.070478666942
04:04:00,4954.341994292825,5245.52392578125,5319.10546875,5130.033203125,5193.09912109375,5783.60302734375,2570.0,5257.7334109225985
04:04:05,4346.503547804369,5086.63134765625,5218.78564453125,5281.25732421875,5376.19873046875,5285.8408203125,6090.0,5114.768181494296
04:04:10,3914.978762066756,5509.21337890625,5481.6923828125,5577.6923828125,5498.01611328125,5963.716796875,8450.0,5338.383177494776
04:04:15,3608.624924494177,5794.91796875,5893.4736328125,5783.89794921875,5705.89990234375,6352.04052734375,6310.0,5546.667711580102
04:04:20,5597.365194688387,5540.3447265625,4917.6455078125,5423.0048828125,5724.783203125,6125.62451171875,3450.0,5544.614094027553
04:04:25,5500.04323092253,5710.00244140625,5023.4384765625,5008.56689453125,5870.66796875,5901.37646484375,4930.0,5497.247562170901
04:04:30,5431.003421953851,6070.1572265625,5266.2275390625,5023.27685546875,5681.47998046875,5719.5595703125,9660.0,5536.714896391426
04:04:35,5382.026859644658,6434.259765625,5525.90380859375,5532.798828125,5967.2890625,5939.607421875,9700.0,5822.096790072815
04:04:40,5347.283083677454,6401.92431640625,5628.12451171875,5873.05859375,5873.94775390625,6496.3115234375,5480.0,5960.954346681627
04:04:45,7098.631592924917,6569.037109375,6058.93115234375,6562.91162109375,6567.9619140625,5962.1298828125,8610.0,6464.478443610582
04:04:50,6475.989093486154,5273.82080078125,5612.34130859375,5382.5283203125,5583.85693359375,5901.04345703125,5130.0,5654.167934925408
04:04:55,6034.444509744804,4373.49462890625,5218.95849609375,4764.23779296875,4984.82958984375,5715.9169921875,1880.0,5107.921782553419
04:05:00,5721.324830945081,4548.43994140625,5314.798828125,5094.259765625,5176.8603515625,5831.17431640625,2510.0,5226.500907349495
04:05:05,5499.277189864572,4946.166015625,5699.46240234375,5308.30615234375,5457.5048828125,6281.0205078125,4790.0,5487.39655935454
04:05:10,5602.225849777107,5393.341796875,5259.97412109375,5830.56689453125,5104.46630859375,5316.189453125,6880.0,5414.391268023002
04:05:15,6361.707548452228,5490.42724609375,5613.53271484375,6479.2587890625,5796.1953125,6188.3203125,7070.0,5954.375185987584
04:05:20,6900.643188082874,5175.4033203125,5894.31640625,6475.01904296875,5812.1923828125,6125.58203125,4150.0,5998.178214246285
04:05:25,7283.077187704948,5148.1552734375,6085.755859375,5928.9423828125,5707.14697265625,5978.8408203125,3480.0,5937.393421953297
04:05:30,7554.456093295923,5094.0185546875,5607.00732421875,5475.34765625,5753.06982421875,6008.73681640625,5110.0,5810.989042182566
04:05:35,6716.407607951773,6849.26513671875,7068.65283203125,6893.4638671875,6742.45703125,5754.130859375,9410.0,6699.447507769162
04:05:40,7366.453994371723,7302.64306640625,7297.0810546875,7786.4072265625,7293.3466796875,6749.7177734375,5220.0,7316.041673801458
04:05:45,7827.379637447246,7106.78759765625,7323.51904296875,7815.85595703125,6902.29296875,6522.49072265625,9920.0,7240.397189360433
04:05:50,8154.206234568475,6236.29931640625,6087.2314453125,6962.39111328125,6332.59326171875,5907.4033203125,3600.0,6550.740481073014
04:05:55,8385.947788093501,5673.419921875,5120.02197265625,5980.3994140625,5905.94140625,5518.84716796875,4170.0,6003.751295570396
04:06:00,3723.7796283820953,4266.4287109375,4353.44287109375,4296.857421875,4109.51806640625,3705.98779296875,3930.0,4111.94903471482
